srcStateName,srcYear,"Patients attended  Non-communicable diseases ( NCDs ) Clinics Diseases that cannot be directly transmitted from man to man, animal to animal or from the environment (through air, dust, soil, water, food etc) to man or animal are deemed as non-communicable diseases",Patients diagnosed with Diabetes,Patients diagnosed with Hypertension,Patients diagnosed with Hypertension and Diabetes Mellitus( Htnand DM ),Patients diagnosed with Cardiovascular diseases ( CVDs ),Patients diagnosed with Stroke,Patients diagnosed with common Cancers,YearCode,Year
Chhattisgarh,2019,1593416,166411,163401,48886,3133,1516,210,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019,375091,122668,72841,22151,990,202,4184,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2019,292605,38631,73420,12979,1454,1210,898,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019,208578,6535,13179,1009,171,427,670,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019,1276142,294812,292005,66649,9697,3732,609,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,2019,,,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2020,87345,1654,483,288,4991,1126,343,2020,"Calendar Year (Jan - Dec), 2020"
Delhi,2020,44450,8978,7888,30226,242,345,626,2020,"Calendar Year (Jan - Dec), 2020"
Ladakh,2020,1665,193,509,70,28,19,39,2020,"Calendar Year (Jan - Dec), 2020"
Lakshadweep,2020,,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
Jammu and Kashmir,2020,511868,23670,29893,12338,3345,1072,1048,2020,"Calendar Year (Jan - Dec), 2020"
Daman and Diu and Dadar and Nagar Haveli,2020,16451,131,311,36,155,3,207,2020,"Calendar Year (Jan - Dec), 2020"
Chandigarh,2020,170619,10948,10528,1649,252,141,10,2020,"Calendar Year (Jan - Dec), 2020"
Andaman and Nicobar,2020,6959,448,649,203,,,,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,2020,2590568,332301,382789,136664,23218,16316,6251,2020,"Calendar Year (Jan - Dec), 2020"
Uttarakhand,2020,73058,10033,13796,4696,409,196,70,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,2020,2618489,300799,268750,124486,14256,3504,1313,2020,"Calendar Year (Jan - Dec), 2020"
Tripura,2020,199414,12186,31925,32305,604,501,62,2020,"Calendar Year (Jan - Dec), 2020"
Lakshadweep,2018,,,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Daman and Diu,2018,73383,2812,3063,412,234,44,4,2018,"Calendar Year (Jan - Dec), 2018"
Dadar and Nagar Haveli,2018,29563,2916,3169,6085,1062,335,,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,28315,2912,4099,2444,47,20,8,2018,"Calendar Year (Jan - Dec), 2018"
Andaman and Nicobar,2018,11052,230,362,93,,,76,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018,1458531,247614,285134,127759,29907,20529,11897,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2018,105802,17046,20796,6367,460,244,123,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018,3043376,406205,353940,160072,28868,3319,2155,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018,122747,5460,28198,3934,124,482,52,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,23997842,375315,721197,115235,13787,10201,2860,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018,76041,915,2586,385,49,13,2,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018,8954630,378428,691651,119855,21167,3259,3414,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,871579,116181,150685,59557,6555,711,987,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,552450,92783,118978,33938,5487,2050,1457,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,24359,1449,3765,695,633,250,235,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,105758,7168,8322,1167,225,33,108,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018,28521,1557,2560,988,175,43,852,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018,36821,3712,3280,939,242,97,413,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,5883915,155628,250875,97651,16880,4015,14103,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018,334878,28283,35773,29609,4045,1739,1146,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,4758159,58174,107995,31140,20120,1061,10404,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018,2375504,112220,105030,38539,8212,4989,20084,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,421063,31093,32491,6543,2747,997,149,2018,"Calendar Year (Jan - Dec), 2018"
Jammu and Kashmir,2018,220441,23486,39504,9328,2061,1013,387,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,2018,260164,77845,99432,30312,2150,213,453,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018,1292849,91324,105020,41019,2827,625,1221,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018,3997656,154504,159007,62043,10107,6097,72169,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018,2850666,122456,143118,,,,13130,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,507413,8431,6609,7529,1430,1053,53,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018,714609,101739,59909,21226,1786,357,2905,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,152510,47337,24774,6402,660,163,17,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,245988,24915,50765,5067,1548,1057,400,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,185801,8220,16244,1381,268,332,862,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,1382857,391843,399094,78292,9585,2578,5705,2018,"Calendar Year (Jan - Dec), 2018"
