index,1,73,74,39,4,33,34,35,22,19,80,81,97
47,Bihar,29.3,77.5,73.0,70.2,42.6,46.7,27.8,83.4,82.2,52.5,98.9,56.1
48,Himachal Pradesh,60.0,84.6,86.6,55.5,35.9,25.6,16.1,91.5,82.5,81.2,94.3,87.4
49,Uttar Pradesh,50.4,72.5,72.5,59.3,40.4,32.1,17.6,91.7,80.7,79.0,100.0,57.0
50,Haryana,60.1,96.0,96.2,65.2,15.6,9.7,8.0,96.5,90.9,91.7,96.6,88.2
51,Nagaland,50.083,68.693,64.693,36.686,28.3,29.794,25.001,74.609,61.319,81.105,92.398,86.607
52,Rajasthan,60.7,82.6,79.2,63.3,30.3,23.7,16.6,86.7,79.1,72.1,94.8,67.7
53,Tamil Nadu,84.2,86.0,88.2,39.3,17.3,14.5,11.4,100.0,96.0,96.2,98.2,97.7
54,Gujarat,73.2,86.9,83.9,73.8,37.0,41.0,33.1,93.1,88.5,61.0,90.7,74.5
55,Assam,72.2,73.5,73.5,65.5,35.4,22.2,14.1,90.9,84.3,65.6,98.6,83.4
56,Jharkhand,40.7,84.0,85.9,69.4,35.9,41.6,29.4,91.9,90.1,70.2,89.7,73.8
57,Uttarakhand,52.2,72.1,67.8,39.3,34.1,21.6,16.2,92.0,87.9,87.6,94.4,89.2
58,Uttar Pradesh,27.8,50.8,51.8,60.9,39.1,24.5,12.0,88.4,76.1,73.3,99.0,65.5
59,Assam,55.9,73.8,73.2,66.8,27.5,26.7,15.4,87.7,73.4,68.1,99.5,83.9
60,Rajasthan,33.2,75.9,76.8,61.7,40.3,29.1,12.2,83.0,77.4,62.7,93.9,61.1
61,Gujarat,76.6,90.9,91.1,79.4,43.4,49.0,26.2,90.9,84.6,44.4,94.8,70.9
62,Himachal Pradesh,59.4,88.9,96.8,48.2,27.3,23.6,14.9,85.2,74.3,85.5,98.0,94.8
63,Uttar Pradesh,31.5,83.8,81.6,41.1,35.9,39.2,24.2,86.0,84.6,64.2,100.0,63.2
64,Maharashtra,60.0,83.4,83.4,53.9,35.3,39.3,31.7,88.0,79.0,61.5,73.7,78.0
65,Karnataka,55.3,89.6,86.5,51.7,36.8,36.1,22.1,81.8,87.2,56.5,98.9,73.8
66,Madhya Pradesh,64.6,89.5,86.6,54.6,19.9,29.1,20.6,87.47797252747252,80.58622527472527,79.6,96.7,80.0
67,Telangana,72.9,88.3,88.2,66.9,49.7,41.7,17.3,93.5,86.9,73.7,97.0,45.0
68,Tamil Nadu,95.4,98.6,96.7,47.2,29.8,19.7,13.1,95.5,93.9,76.2,97.7,81.6
69,Uttar Pradesh,22.6,41.5,42.4,61.1,41.9,31.9,18.1,78.2,74.7,62.4,98.8,56.1
70,Rajasthan,53.5,89.4,92.6,53.6,25.0,20.8,14.6,98.6,89.3,79.6,99.9,72.4
71,Manipur,65.01,37.24,36.224,23.861,27.256,12.907,10.705,75.233,70.94,84.276,64.528,81.94
72,Kerala,91.8,91.0,89.0,32.6,21.3,18.9,14.1,90.7,96.2,99.6,93.3,99.1
73,Nagaland,5.8,31.9,33.5,36.0,36.9,25.0,11.0,66.2,53.1,83.1,90.9,73.7
74,Meghalaya,61.0,39.5,39.3,57.1,42.5,29.6,17.9,80.9,77.1,85.3,86.2,89.5
75,Kerala,83.9,95.2,93.2,20.9,22.7,11.2,11.4,0.0,0.0,98.9,94.1,99.7
76,Telangana,67.1,89.9,90.1,61.4,22.4,26.1,19.4,94.8,86.1,77.4,98.7,64.7
