index1,index,2,District
188,188,Ramban,Hisar
189,189,Vikarabad,Rohtak
190,190,Kumuram Bheem Asifabad,Gurugram
191,191,Palakkad,Jhajjar
192,192,Sonipat,Nuh
193,193,Central Delhi,Jind
194,194,Kheri,Sirsa
195,195,Baramula,Yamunanagar
196,196,Jalpaiguri,Sonipat
197,197,Sidhi,Panchkula
198,198,Imphal East,Mahendragarh
199,199,Moga,Kurukshetra
200,200,Kollam,Bhiwani
201,201,Hyderabad,Ambala
202,202,Kishanganj,Karnal
203,203,Neemuch,Faridabad
204,204,Jhansi,Kaithal
205,205,Siddharthnagar,Palwal
206,206,Gautam Buddha Nagar,Charki Dadri
207,207,Kodarma,Panipat
208,208,South District,Shimla
209,209,Sonitpur,Mandi
210,210,Mysuru,Lahul And Spiti
211,211,Sultanpur,Bilaspur
212,212,Birbhum,Hamirpur
213,213,Sundargarh,Kangra
214,214,Nayagarh,Una
215,215,Rudraprayag,Chamba
216,216,Koriya,Sirmaur
217,217,Sangareddy,Solan
218,218,Karimnagar,Kinnaur
219,219,Bastar,Kullu
220,220,Mungeli,Kupwara
221,221,Nawada,Doda
222,222,Lohardaga,Shopian
223,223,Gariaband,Anantnag
224,224,Vijayapura,Samba
225,225,Jhargram,Srinagar
226,226,Tapi,Budgam
227,227,Kanpur Dehat,Reasi
228,228,Dausa,Ganderbal
229,229,Pauri Garhwal,Pulwama
230,230,Chengalpattu,Kathua
231,231,Gajapati,Poonch
232,232,Hoshangabad,Udhampur
233,233,Lucknow,Rajouri
234,234,Raisen,Kulgam
235,235,Jalgaon,Baramulla
236,236,Kokrajhar,Bandipora
237,237,Chota Udaipur,Ramban
238,238,Panch Mahals,Kishtwar
239,239,South Goa,Jammu
240,240,Bharuch,Godda
241,241,Mahe,Gumla
242,242,Supaul,Sahebganj
243,243,Sirmaur,East Singhbum
244,244,Sagar,Koderma
245,245,Kolhapur,Garhwa
246,246,Shahjahanpur,Chatra
247,247,Ashoknagar,Simdega
248,248,Tinsukia,Latehar
249,249,Kheda,Lohardaga
250,250,Nuh,Dhanbad
251,251,Mahesana,Giridih
252,252,Lunglei,Deoghar
253,253,Chatra,Pakur
254,254,Khordha,West Singhbhum
255,255,Nandurbar,Ranchi
256,256,Nanded,Saraikela Kharsawan
257,257,Koraput,Ramgarh
258,258,Goalpara,Hazaribagh
259,259,Champhai,Khunti
260,260,Panchkula,Jamtara
261,261,Chandel,Dumka
262,262,Shivpuri,Bokaro
263,263,Jamui,Palamu
264,264,Bengaluru Urban,Kodagu
265,265,Anuppur,Koppal
266,266,Balaghat,Davangere
267,267,Bhiwani,Chikkamagaluru
268,268,Palamu,Bagalkote
269,269,Marigaon,Bengaluru Urban
270,270,Latur,Raichur
271,271,Kathua,Udupi
272,272,Surendranagar,Uttara Kannada
273,273,Buldana,Mysuru
274,274,Kupwara,Bidar
275,275,Panna,Bengaluru Rural
276,276,Cachar,Ballari
277,277,Singrauli,Tumakuru
278,278,Chhatarpur,Kalaburagi
279,279,Sheikhpura,Mandya
280,280,Leh,Ramanagara
281,281,Dantewada,Shivamogga
282,282,Haveri,Hassan
283,283,Bikaner,Yadgir
284,284,Bhadradri Kothagudem,Vijayapura
285,285,Firozabad,Haveri
286,286,Tiruvannamalai,Chikkaballapura
287,287,Jhunjhunu,Dakshina Kannada
288,288,Nainital,Chitradurga
289,289,Nalgonda,Belagavi
290,290,24 Paraganas North,Dharwad
291,291,Gorakhpur,Kolar
292,292,Etah,Chamarajanagara
293,293,Saharanpur,Gadag
294,294,Pithoragarh,Kollam
295,295,Mahoba,Kannur
296,296,Meerut,Palakkad
297,297,Almora,Ernakulam
298,298,24 Paraganas South,Kasaragod
299,299,Hapur,Wayanad
300,300,Wanaparthy,Kozhikode
301,301,The Nilgiris,Idukki
302,302,Medak,Pathanamthitta
303,303,Maldah,Alappuzha
304,304,Tuticorin,Thrissur
305,305,Dhalai,Thiruvananthapuram
306,306,Kallakurichi,Malappuram
307,307,Jaisalmer,Kottayam
308,308,Papum Pare,Kargil
309,309,Charaideo,Leh Ladakh
310,310,Baghpat,Raisen
311,311,Chamba,Hoshangabad
312,312,Saraikela-kharsawan,Shivpuri
313,313,Mayiladuthurai,Anuppur
314,314,Fatehpur,Bhind
315,315,Saitual,Umaria
316,316,Chittaurgarh,Balaghat
317,317,Karimganj,Sagar
318,318,New Delhi,Sidhi
319,319,Agra,Shajapur
320,320,Gumla,Neemuch
321,321,Narsimhapur,Damoh
322,322,Samba,Ashoknagar
323,323,Rayagada,East Nimar
324,324,Charki Dadri,Seoni
325,325,Bhavnagar,Datia
326,326,Ranga Reddy,Agar Malwa
327,327,Dindigul,Sehore
328,328,Namakkal,Tikamgarh
329,329,Nagarkurnool,Guna
330,330,Kargil,Niwari
331,331,Chhindwara,Narsinghpur
332,332,Hooghly,Gwalior
333,333,Nagapattinam,Burhanpur
334,334,Dhar,Ratlam
335,335,Siddipet,Dewas
336,336,Medinipur East,Panna
337,337,Gaurella Pendra Marwahi,Satna
338,338,Murshidabad,Indore
339,339,Chennai,Khargone
340,340,Sheohar,Rewa
341,341,Etawah,Jabalpur
342,342,Porbandar,Alirajpur
343,343,Malerkotla,Barwani
344,344,Nagpur,Shahdol
345,345,Serchhip,Betul
346,346,Tumakuru,Rajgarh
347,347,West Garo Hills,Mandsaur
348,348,Moradabad,Katni
349,349,Valsad,Harda
350,350,Yadgir,Jhabua
351,351,Janjgir Champa,Singrauli
352,352,Amravati,Mandla
353,353,Tenkasi,Dindori
354,354,West District,Sheopur
355,355,Kolar,Chhatarpur
356,356,Surguja,Bhopal
357,357,Katni,Chhindwara
358,358,Bhojpur,Dhar
359,359,Morbi,Morena
360,360,Bagalkote,Ujjain
361,361,Reasi,Raigad
362,362,Bhagalpur,Yavatmal
363,363,Sukma,Sindhudurg
364,364,Raigad,Amravati
365,365,Chandrapur,Nashik
366,366,Ujjain,Chandrapur
367,367,Mon,Latur
368,368,Hisar,Thane
369,369,Bhadrak,Ratnagiri
370,370,Ernakulam,Nanded
371,371,Pakur,Nagpur
372,372,Jhabua,Nandurbar
373,373,Mahasamund,Osmanabad
374,374,South West Garo Hills,Hingoli
375,375,Tarn Taran,Akola
376,376,Churachandpur,Buldhana
377,377,Vaishali,Wardha
378,378,Patna,Kolhapur
379,379,Kaimur Bhabhua,Beed
380,380,North  District,Mumbai
