index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy
206,Charki Dadri,53.4,93.9,91.9,71.1,23.9,16.9,10.6,94.8,86.1,90.4,97.3,83.6,28.0,22,69.8
207,Panipat,49.2,92.8,93.2,66.3,25.1,18.9,9.9,90.5,82.1,79.3,99.9,83.8,28.0,22,69.8
208,Shimla,85.3,91.6,91.2,51.9,27.1,14.9,15.5,96.5,98.3,87.3,97.3,93.4,17.0,12,72.9
209,Mandi,70.3,84.2,83.2,49.9,31.3,21.3,19.9,100.0,94.1,87.0,96.5,94.0,17.0,12,72.9
210,Lahul And Spiti,65.6,81.1,81.0,85.8,28.5,18.4,16.3,92.9,79.8,61.7,89.2,86.2,17.0,12,72.9
211,Bilaspur,81.4,92.9,90.0,55.5,40.1,38.8,12.0,100.0,100.0,80.8,92.9,91.2,17.0,12,72.9
212,Hamirpur,59.4,88.9,96.8,48.2,27.3,23.6,14.9,85.2,74.3,85.5,98.0,94.8,17.0,12,72.9
213,Kangra,56.3,88.7,85.9,57.7,28.0,32.0,19.4,95.2,83.9,73.3,98.6,94.4,17.0,12,72.9
214,Una,71.7,84.9,87.1,63.0,24.7,25.8,13.1,90.5,77.6,81.4,98.8,92.5,17.0,12,72.9
215,Chamba,62.7,72.9,70.8,47.4,42.6,26.0,15.4,100.0,100.0,86.5,85.5,84.1,17.0,12,72.9
216,Sirmaur,85.2,88.7,85.5,54.1,28.6,24.2,18.5,100.0,96.8,84.3,95.7,84.9,17.0,12,72.9
217,Solan,88.2,85.9,88.7,44.3,32.3,26.7,20.9,95.0,92.6,81.8,96.5,91.0,17.0,12,72.9
218,Kinnaur,75.3,83.4,85.6,52.4,32.2,18.9,11.3,96.4,94.1,80.1,96.9,89.1,17.0,12,72.9
219,Kullu,60.0,84.6,86.6,55.5,35.9,25.6,16.1,91.5,82.5,81.2,94.3,87.4,17.0,12,72.9
220,Kupwara,89.2,90.5,89.6,81.0,24.9,25.5,25.1,98.3,93.2,67.7,88.0,76.0,19.02777778,21,74.0
221,Doda,74.3,71.6,71.6,74.1,32.7,15.2,9.5,67.5,63.6,70.9,92.6,69.2,19.02777778,21,74.0
222,Shopian,86.8,84.5,83.0,77.5,22.0,33.5,32.8,100.0,92.2,86.5,99.2,80.8,19.02777778,21,74.0
223,Anantnag,80.9,85.1,81.3,88.0,28.2,28.3,24.9,90.5,85.5,84.7,99.3,74.7,19.02777778,21,74.0
224,Samba,96.2,92.3,87.6,73.2,24.5,15.5,20.4,94.0,90.9,78.8,95.4,84.8,19.02777778,21,74.0
225,Srinagar,85.1,90.9,88.8,69.9,33.0,15.8,18.6,95.7,90.9,86.8,98.5,78.4,19.02777778,21,74.0
226,Budgam,66.5,88.7,86.3,83.7,26.8,20.6,18.9,95.7,92.5,77.0,95.8,74.1,19.02777778,21,74.0
227,Reasi,75.9,64.7,63.6,74.6,17.7,11.7,13.0,86.6,80.8,62.7,76.5,68.2,19.02777778,21,74.0
228,Ganderbal,80.4,88.4,87.0,83.7,18.5,20.1,25.9,93.2,88.9,78.4,97.2,64.0,19.02777778,21,74.0
229,Pulwama,96.2,95.0,93.7,82.0,22.4,20.2,15.3,97.0,91.8,91.6,98.0,76.6,19.02777778,21,74.0
230,Kathua,31.6,81.2,77.1,71.8,21.8,25.9,22.5,100.0,100.0,75.4,96.1,87.7,19.02777778,21,74.0
231,Poonch,86.4,81.7,78.9,74.5,25.9,18.8,15.6,95.7,95.6,66.7,76.8,79.3,19.02777778,21,74.0
232,Udhampur,69.8,71.2,69.1,68.6,37.3,31.9,19.8,87.8,85.8,69.8,76.4,77.3,19.02777778,21,74.0
233,Rajouri,71.9,78.7,75.8,72.0,30.3,32.4,22.5,96.9,95.0,63.3,77.7,79.4,19.02777778,21,74.0
234,Kulgam,92.2,91.5,92.6,80.7,28.4,15.3,11.3,100.0,100.0,80.5,96.4,70.9,19.02777778,21,74.0
235,Baramulla,75.2,80.1,76.0,75.3,23.2,17.3,18.2,84.1,76.6,77.7,93.3,67.9,19.02777778,21,74.0
236,Bandipora,82.6,82.6,81.9,73.2,25.2,16.8,14.0,93.4,91.6,66.8,89.8,66.6,19.02777778,21,74.0
237,Ramban,79.2,71.3,70.1,76.4,25.7,21.2,15.6,82.1,80.5,48.9,73.4,62.2,19.02777778,21,74.0
238,Kishtwar,76.4,75.7,75.4,92.2,27.5,17.7,22.8,94.6,91.6,59.6,86.8,71.3,19.02777778,21,74.0
239,Jammu,95.4,92.2,86.0,72.4,27.0,17.6,18.0,90.8,84.1,81.2,99.9,91.5,19.02777778,21,74.0
240,Godda,39.2,67.9,66.8,62.0,39.4,40.7,24.5,86.8,69.8,54.9,91.4,46.6,25.0,23,69.1
241,Gumla,49.3,82.4,78.4,61.3,40.2,38.7,20.1,95.3,86.4,50.1,75.2,63.7,25.0,23,69.1
242,Sahebganj,36.2,64.8,61.0,67.6,49.1,44.8,19.7,76.4,68.8,43.2,88.2,48.8,25.0,23,69.1
243,East Singhbum,40.7,84.0,85.9,69.4,35.9,41.6,29.4,91.9,90.1,70.2,89.7,73.8,25.0,23,69.1
244,Koderma,47.6,75.8,78.0,61.2,34.6,31.7,18.0,85.0,76.1,54.0,83.9,63.6,25.0,23,69.1
245,Garhwa,29.8,70.3,70.6,61.0,47.7,40.6,18.9,86.1,78.2,54.1,92.5,59.6,25.0,23,69.1
246,Chatra,32.4,61.2,59.1,55.7,42.2,39.8,17.2,78.7,73.6,48.1,83.3,57.7,25.0,23,69.1
247,Simdega,34.4,61.5,62.3,69.5,42.2,37.0,21.1,91.5,83.9,71.3,66.7,66.4,25.0,23,69.1
248,Latehar,43.1,70.7,61.7,62.2,40.1,39.4,19.2,95.2,75.0,51.4,79.2,54.9,25.0,23,69.1
249,Lohardaga,37.7,79.2,82.1,59.4,40.7,43.4,26.6,95.2,92.9,67.7,78.4,65.2,25.0,23,69.1
250,Dhanbad,44.6,73.2,74.3,69.9,27.0,25.1,14.0,83.9,66.1,67.6,88.9,69.7,25.0,23,69.1
251,Giridih,42.1,61.3,61.0,63.8,31.9,34.3,27.8,84.4,71.6,59.2,87.6,53.4,25.0,23,69.1
252,Deoghar,30.7,55.6,56.4,67.2,41.7,36.9,17.7,73.0,62.6,41.6,90.8,50.7,25.0,23,69.1
253,Pakur,26.6,61.6,60.0,78.0,51.3,51.4,23.6,84.0,73.4,38.3,88.6,41.4,25.0,23,69.1
254,West Singhbhum,34.9,58.8,61.5,74.2,60.6,62.4,30.5,92.1,90.0,37.7,79.3,47.8,25.0,23,69.1
255,Ranchi,35.2,83.1,84.5,61.7,28.3,40.6,32.7,82.6,78.0,77.2,86.3,76.0,25.0,23,69.1
256,Saraikela Kharsawan,54.4,77.2,73.9,74.9,40.0,48.7,32.9,94.8,82.8,60.9,85.7,64.0,25.0,23,69.1
257,Ramgarh,40.9,78.0,75.8,66.7,35.3,35.3,23.5,94.7,84.9,64.2,76.7,71.0,25.0,23,69.1
258,Hazaribagh,36.4,65.4,67.7,54.1,37.8,32.5,16.2,85.9,71.8,55.6,85.5,67.2,25.0,23,69.1
259,Khunti,37.4,63.9,61.0,71.5,38.5,44.0,32.1,87.4,76.5,55.2,68.6,55.3,25.0,23,69.1
260,Jamtara,36.0,69.9,66.5,77.4,41.9,46.2,23.0,91.4,80.4,52.8,93.0,53.5,25.0,23,69.1
261,Dumka,39.3,54.9,57.1,74.1,38.2,44.9,27.8,86.4,84.9,41.5,92.6,51.8,25.0,23,69.1
262,Bokaro,48.7,73.5,70.0,68.2,36.2,32.3,19.7,92.3,76.9,64.4,86.4,69.2,25.0,23,69.1
263,Palamu,33.8,70.3,70.1,63.3,43.7,37.3,18.4,92.5,82.1,46.3,94.9,62.5,25.0,23,69.1
264,Kodagu,74.4,93.3,91.9,35.8,30.4,22.6,21.7,93.7,90.6,93.9,89.2,88.5,19.0,15,69.4
265,Koppal,50.7,80.7,79.5,55.3,49.1,45.8,23.1,90.3,84.8,58.8,96.0,59.8,19.0,15,69.4
266,Davangere,63.1,78.9,74.0,51.5,38.4,32.8,18.8,89.2,81.2,83.3,97.5,76.0,19.0,15,69.4
267,Chikkamagaluru,74.3,90.9,91.4,45.6,27.3,25.4,24.9,100.0,91.0,92.3,95.7,82.9,19.0,15,69.4
268,Bagalkote,76.2,89.0,86.7,50.7,48.3,42.3,16.9,93.1,84.0,51.3,99.2,69.7,19.0,15,69.4
269,Bengaluru Urban,74.6,88.0,88.2,45.1,31.3,28.1,19.2,85.4,78.2,90.4,99.2,87.3,19.0,15,69.4
270,Raichur,67.5,76.1,73.3,64.8,39.8,40.7,23.2,85.0,81.2,53.0,94.0,54.3,19.0,15,69.4
271,Udupi,59.4,89.2,87.7,49.9,23.1,21.0,17.6,96.2,94.3,94.5,81.5,90.3,19.0,15,69.4
272,Uttara Kannada,57.9,87.4,87.8,44.6,29.6,33.3,21.9,96.7,93.6,89.6,84.8,84.3,19.0,15,69.4
273,Mysuru,85.7,93.5,88.6,41.7,27.5,28.2,15.6,100.0,100.0,86.4,95.4,78.9,19.0,15,69.4
274,Bidar,55.3,89.6,86.5,51.7,36.8,36.1,22.1,81.8,87.2,56.5,98.9,73.8,19.0,15,69.4
275,Bengaluru Rural,90.9,91.7,91.0,43.9,36.6,23.8,16.2,100.0,94.3,88.8,97.9,83.8,19.0,15,69.4
276,Ballari,56.4,86.6,84.2,58.5,36.1,36.5,22.9,89.4,77.8,64.1,94.7,64.4,19.0,15,69.4
277,Tumakuru,80.4,95.2,90.2,47.9,40.3,26.7,10.9,97.7,100.0,86.1,96.2,81.9,19.0,15,69.4
278,Kalaburagi,53.6,79.6,78.1,61.4,34.5,36.2,25.0,84.0,81.9,36.5,92.5,68.2,19.0,15,69.4
279,Mandya,90.1,95.5,95.1,42.9,24.3,16.7,11.8,100.0,96.9,86.7,98.4,78.3,19.0,15,69.4
280,Ramanagara,88.7,87.0,84.8,47.2,15.6,19.8,20.0,100.0,100.0,89.6,98.3,82.7,19.0,15,69.4
281,Shivamogga,79.4,91.5,89.7,44.7,29.0,34.4,23.2,98.0,98.1,85.4,94.6,79.8,19.0,15,69.4
282,Hassan,75.8,92.6,86.1,34.2,27.1,23.8,15.2,100.0,96.8,87.9,96.8,82.0,19.0,15,69.4
283,Yadgir,63.6,73.3,72.2,61.8,57.6,45.2,17.7,89.3,85.3,37.4,95.2,48.1,19.0,15,69.4
284,Vijayapura,56.4,74.4,74.8,52.6,45.9,39.0,15.0,81.8,81.4,44.8,92.5,66.6,19.0,15,69.4
285,Haveri,58.7,92.4,85.4,51.5,29.9,35.0,17.7,97.2,95.7,68.9,99.1,71.5,19.0,15,69.4
286,Chikkaballapura,90.5,91.2,90.5,46.9,31.3,25.2,16.1,92.4,81.2,84.9,98.1,76.3,19.0,15,69.4
287,Dakshina Kannada,82.0,83.5,83.5,35.0,25.1,26.4,30.5,96.5,89.0,97.1,88.6,92.7,19.0,15,69.4
288,Chitradurga,79.3,95.2,94.3,50.2,36.0,32.4,17.9,97.3,97.3,63.1,97.8,75.6,19.0,15,69.4
289,Belagavi,63.7,87.0,85.6,48.5,32.8,36.9,23.6,91.8,87.0,67.7,94.4,74.0,19.0,15,69.4
290,Dharwad,85.2,98.0,95.5,50.5,45.2,40.4,16.5,96.1,89.1,79.3,87.9,81.8,19.0,15,69.4
291,Kolar,90.9,95.7,95.0,46.9,31.1,15.7,15.5,86.3,90.6,89.2,98.5,78.3,19.0,15,69.4
292,Chamarajanagara,84.1,94.2,93.2,52.9,32.2,28.7,18.0,97.9,95.5,75.2,99.9,72.4,19.0,15,69.4
293,Gadag,68.7,84.7,83.4,54.1,45.2,39.8,18.2,85.5,86.3,55.2,95.5,70.7,19.0,15,69.4
294,Kollam,79.3,91.4,89.5,24.5,15.5,17.0,21.4,89.1,95.6,97.5,95.7,98.2,6.0,18,75.3
295,Kannur,78.3,93.4,90.0,30.4,19.4,17.9,14.0,83.7,79.5,99.5,93.9,99.1,6.0,18,75.3
296,Palakkad,68.4,97.5,93.2,43.3,29.7,27.7,21.7,77.0,57.0,99.0,94.7,94.4,6.0,18,75.3
297,Ernakulam,82.2,96.1,94.2,30.1,22.0,19.4,17.1,92.7,82.6,99.3,98.2,99.3,6.0,18,75.3
298,Kasaragod,91.2,95.0,95.9,39.6,25.3,21.4,12.6,97.3,94.4,98.9,93.2,95.9,6.0,18,75.3
299,Wayanad,94.2,95.9,97.2,27.7,31.3,22.5,16.1,90.8,88.8,97.6,94.1,93.7,6.0,18,75.3
300,Kozhikode,91.8,91.0,89.0,32.6,21.3,18.9,14.1,90.7,96.2,99.6,93.3,99.1,6.0,18,75.3
301,Idukki,74.3,94.0,95.3,33.8,24.3,23.6,14.5,93.0,96.6,97.5,82.3,94.4,6.0,18,75.3
302,Pathanamthitta,83.9,95.2,93.2,20.9,22.7,11.2,11.4,0.0,0.0,98.9,94.1,99.7,6.0,18,75.3
303,Alappuzha,65.7,89.2,85.1,22.9,20.1,20.4,14.4,83.3,79.3,99.2,98.4,99.7,6.0,18,75.3
304,Thrissur,82.4,95.2,88.4,36.5,22.0,17.3,9.6,0.0,0.0,99.5,93.7,99.4,6.0,18,75.3
305,Thiruvananthapuram,55.3,86.2,88.0,20.9,19.5,15.2,17.4,93.4,76.3,95.4,92.9,98.5,6.0,18,75.3
306,Malappuram,90.4,96.9,95.1,38.1,29.4,21.4,18.2,86.3,86.3,99.9,97.7,99.2,6.0,18,75.3
307,Kottayam,55.1,85.0,83.5,38.1,23.4,17.3,8.4,0.0,0.0,98.6,97.1,99.7,6.0,18,75.3
308,Kargil,88.0,78.3,74.7,97.1,36.5,21.8,17.7,97.4,87.5,42.3,90.2,77.2,16.0,2,74.0
309,Leh Ladakh,69.6,80.8,78.6,96.8,24.3,19.0,17.2,88.9,88.9,42.4,87.1,76.4,16.0,2,74.0
310,Raisen,56.6,88.8,89.0,69.4,30.4,25.4,21.1,87.47797252747252,80.58622527472527,69.6,92.4,75.2,43.0,51,66.5
311,Hoshangabad,31.5,67.6,71.8,52.1,34.8,27.2,19.5,87.9,79.0,68.5,93.5,67.6,43.0,51,66.5
312,Shivpuri,52.7,88.1,84.7,54.6,39.2,36.1,18.4,78.4,68.7,55.5,86.8,56.7,43.0,51,66.5
313,Anuppur,63.6,85.6,85.8,43.6,24.0,30.7,18.4,88.5,90.6,69.4,79.8,72.1,43.0,51,66.5
314,Bhind,63.1,84.2,85.9,69.9,32.2,29.0,12.4,89.4,74.9,79.9,95.5,70.2,43.0,51,66.5
315,Umaria,48.9,89.7,87.9,55.3,45.3,36.6,15.5,94.5,95.6,53.7,79.5,63.0,43.0,51,66.5
316,Balaghat,69.1,92.1,86.1,56.7,41.9,44.9,20.5,91.8,89.8,79.6,83.3,77.4,43.0,51,66.5
317,Sagar,35.9,71.5,79.8,49.7,42.7,35.8,15.2,88.3,79.2,68.8,86.7,69.4,43.0,51,66.5
318,Sidhi,39.4,79.7,75.9,59.6,39.1,32.8,16.6,92.3,88.0,44.7,83.7,64.4,43.0,51,66.5
319,Shajapur,64.7,85.6,88.2,51.4,27.8,27.6,23.4,97.5,91.4,74.5,91.8,58.0,43.0,51,66.5
320,Neemuch,60.6,93.3,92.9,57.7,33.0,27.7,13.1,91.4,88.7,68.9,91.7,67.3,43.0,51,66.5
321,Damoh,46.4,75.8,78.8,57.0,40.3,32.3,16.2,78.6,68.3,40.6,81.0,61.6,43.0,51,66.5
322,Ashoknagar,57.9,77.8,76.4,45.0,32.6,31.1,19.7,80.3,72.5,53.7,90.1,57.0,43.0,51,66.5
323,East Nimar,62.2,93.3,87.5,68.9,38.4,35.3,20.7,94.5,87.9,76.7,88.7,65.8,43.0,51,66.5
324,Seoni,64.5,93.4,94.9,58.9,23.5,31.1,21.1,93.4,90.3,56.2,79.1,71.6,43.0,51,66.5
325,Datia,54.2,82.0,82.2,59.5,36.8,29.4,16.4,88.6,81.5,66.8,95.8,67.2,43.0,51,66.5
326,Agar Malwa,76.5,89.9,92.9,56.4,40.3,35.7,18.7,84.2,81.3,72.3,81.4,55.5,43.0,51,66.5
327,Sehore,45.0,74.4,80.4,50.5,21.9,27.6,20.3,80.8,65.7,75.2,92.2,64.3,43.0,51,66.5
328,Tikamgarh,64.2,86.9,86.5,56.4,27.5,34.9,19.7,89.8,84.5,56.6,80.0,67.7,43.0,51,66.5
329,Guna,68.3,78.0,87.9,49.2,31.9,25.1,10.1,87.0,82.2,55.6,81.4,53.2,43.0,51,66.5
330,Niwari,64.2,86.9,86.5,56.4,27.5,34.9,19.7,89.8,84.5,56.6,80.0,67.7,43.0,51,66.5
331,Narsinghpur,74.2,91.4,87.4,48.5,32.0,28.1,19.6,88.2,87.9,77.0,99.8,69.2,43.0,51,66.5
332,Gwalior,68.9,81.3,85.8,66.6,40.1,33.0,12.4,82.2,82.2,83.2,98.6,76.0,43.0,51,66.5
333,Burhanpur,63.1,84.6,84.8,66.5,38.7,47.2,27.9,92.9,91.7,74.0,96.0,64.7,43.0,51,66.5
334,Ratlam,65.1,84.6,87.7,60.5,29.0,28.6,16.2,94.4,93.0,69.4,91.0,62.4,43.0,51,66.5
335,Dewas,49.1,84.3,82.7,59.0,36.8,30.7,20.4,96.5,88.5,69.6,93.6,64.2,43.0,51,66.5
336,Panna,30.9,73.5,74.6,63.1,45.1,39.2,23.2,76.4,70.1,43.8,85.5,55.7,43.0,51,66.5
337,Satna,51.5,81.3,79.7,65.1,49.4,31.2,16.8,88.4,76.3,55.4,92.7,69.1,43.0,51,66.5
338,Indore,74.6,92.6,93.3,55.9,28.7,24.9,21.2,90.1,86.1,90.0,98.9,80.3,43.0,51,66.5
339,Khargone,61.3,83.7,83.6,56.1,31.4,44.0,27.4,88.2,81.0,73.8,97.0,59.5,43.0,51,66.5
340,Rewa,33.0,77.7,77.8,65.3,37.0,31.5,18.7,93.5,70.3,46.1,82.1,62.3,43.0,51,66.5
341,Jabalpur,60.4,97.5,88.9,49.0,18.0,31.3,26.4,87.47797252747252,80.58622527472527,61.9,98.0,68.2,43.0,51,66.5
342,Alirajpur,54.7,79.9,74.6,76.5,34.6,31.6,15.4,87.3,84.1,84.7,89.6,40.8,43.0,51,66.5
343,Barwani,64.2,81.4,82.5,67.0,45.8,41.0,18.9,85.9,78.6,61.0,90.4,49.3,43.0,51,66.5
344,Shahdol,57.4,83.2,79.3,53.3,44.0,39.2,20.4,94.1,94.5,61.4,79.2,68.5,43.0,51,66.5
345,Betul,74.0,85.4,86.2,56.6,30.8,31.4,21.7,91.6,91.0,59.8,87.1,72.7,43.0,51,66.5
346,Rajgarh,55.2,73.3,78.1,51.9,27.6,26.8,22.4,85.8,71.9,47.8,74.2,52.1,43.0,51,66.5
347,Mandsaur,60.8,93.6,90.1,56.4,30.9,22.9,13.1,87.3,80.2,65.4,77.6,64.8,43.0,51,66.5
348,Katni,52.9,82.2,83.7,61.0,49.5,44.0,21.8,97.5,93.0,53.5,94.0,67.2,43.0,51,66.5
349,Harda,71.9,83.9,84.6,69.4,38.8,34.7,28.0,96.3,92.6,68.8,92.3,71.4,43.0,51,66.5
350,Jhabua,63.6,86.5,87.7,63.7,49.3,41.7,17.9,93.6,93.1,57.6,85.2,37.1,43.0,51,66.5
351,Singrauli,58.1,72.2,66.7,60.1,37.3,36.0,25.2,79.6,78.7,52.6,77.9,60.7,43.0,51,66.5
352,Mandla,54.4,84.2,83.5,64.2,32.1,33.0,15.9,93.1,92.3,58.4,79.7,66.5,43.0,51,66.5
353,Dindori,56.5,82.9,80.9,64.2,38.9,33.6,15.8,85.4,88.6,47.9,66.1,63.7,43.0,51,66.5
354,Sheopur,41.0,76.2,73.2,61.8,45.8,37.7,16.2,75.5,70.2,48.0,91.1,49.8,43.0,51,66.5
355,Chhatarpur,36.9,72.2,79.8,67.1,45.1,34.6,17.5,87.1,79.6,55.5,86.5,60.5,43.0,51,66.5
356,Bhopal,64.6,89.5,86.6,54.6,19.9,29.1,20.6,87.47797252747252,80.58622527472527,79.6,96.7,80.0,43.0,51,66.5
357,Chhindwara,67.0,90.2,89.7,45.3,23.9,32.8,18.1,85.9,77.6,77.1,89.1,72.7,43.0,51,66.5
358,Dhar,76.5,91.4,93.8,63.9,28.8,35.9,29.5,88.0,87.0,61.9,89.2,55.6,43.0,51,66.5
359,Morena,64.9,84.2,80.8,66.0,40.0,29.6,10.1,85.1,80.0,62.7,97.1,65.5,43.0,51,66.5
360,Ujjain,60.3,84.5,84.0,62.9,34.7,36.2,29.8,95.6,93.7,72.8,94.7,64.3,43.0,51,66.5
361,Raigad,83.1,93.0,92.9,61.1,35.8,34.1,19.1,97.8,92.3,74.8,87.8,79.2,16.0,23,72.5
362,Yavatmal,66.9,85.6,91.7,64.1,36.6,39.4,27.5,90.0,84.2,66.4,89.5,80.8,16.0,23,72.5
363,Sindhudurg,73.4,96.7,98.2,36.0,30.8,32.0,27.7,89.0,89.7,87.9,73.2,92.1,16.0,23,72.5
364,Amravati,71.7,80.2,79.4,64.8,29.0,38.0,26.2,95.9,92.5,75.7,95.8,87.8,16.0,23,72.5
365,Nashik,66.4,76.5,83.4,56.2,42.2,44.8,27.2,76.2,74.3,68.3,86.3,80.0,16.0,23,72.5
366,Chandrapur,68.5,92.3,97.0,61.7,37.3,46.6,38.5,97.5,97.5,77.3,96.5,87.8,16.0,23,72.5
367,Latur,72.6,93.3,92.5,56.5,43.2,33.9,18.0,88.9,83.0,72.5,94.6,83.3,16.0,23,72.5
368,Thane,70.2,87.2,93.3,58.5,40.8,30.8,17.8,83.1,79.0,74.7,96.7,90.5,16.0,23,72.5
369,Ratnagiri,78.6,89.7,92.2,33.7,31.7,29.5,23.7,86.2,85.6,85.6,90.9,87.2,16.0,23,72.5
370,Nanded,53.5,76.1,79.3,63.1,36.0,35.2,19.0,81.2,82.3,68.0,94.8,71.9,16.0,23,72.5
371,Nagpur,71.4,91.4,90.8,57.9,27.6,33.9,34.0,94.5,94.7,88.9,99.5,94.6,16.0,23,72.5
372,Nandurbar,58.2,74.4,74.2,69.2,45.8,57.2,30.7,86.5,77.0,54.1,94.6,57.7,16.0,23,72.5
373,Osmanabad,89.2,94.4,95.1,50.9,37.2,32.5,16.1,96.7,94.5,71.2,96.4,83.7,16.0,23,72.5
374,Hingoli,66.6,82.4,85.1,60.5,37.4,38.9,25.8,94.0,78.6,69.0,92.4,76.5,16.0,23,72.5
375,Akola,76.3,82.3,92.2,60.3,31.8,30.8,29.4,83.8,77.0,69.5,95.1,87.5,16.0,23,72.5
376,Buldhana,72.7,86.7,84.8,66.8,45.0,47.2,31.7,90.1,91.8,68.9,89.7,79.9,16.0,23,72.5
377,Wardha,70.4,89.9,90.5,63.5,27.7,31.3,28.1,97.4,95.0,80.2,98.5,93.0,16.0,23,72.5
378,Kolhapur,81.8,95.2,91.5,42.8,33.6,34.7,18.9,76.4,74.5,82.0,97.3,90.7,16.0,23,72.5
379,Beed,56.8,79.8,80.6,48.0,40.8,36.8,28.4,89.8,78.0,66.4,85.4,76.3,16.0,23,72.5
380,Mumbai,80.688,90.987,96.458,60.079,31.15,27.454,22.424,0.0,0.0,60.317,99.914,93.138,16.0,23,72.5
381,Gondia,66.2,90.0,89.2,65.2,36.9,35.6,23.7,93.0,91.1,74.3,91.6,87.5,16.0,23,72.5
382,Jalgaon,58.4,74.5,78.5,69.4,36.3,36.9,30.5,74.6,75.8,59.7,94.3,76.5,16.0,23,72.5
383,Pune,68.6,84.2,95.2,58.6,30.7,32.7,31.4,67.7,66.2,79.6,96.9,89.0,16.0,23,72.5
384,Ahmednagar,76.6,90.9,92.9,45.0,31.7,41.2,24.9,93.8,87.6,79.5,90.0,86.2,16.0,23,72.5
385,Dhule,63.2,77.2,74.9,59.8,37.6,46.0,38.9,67.7,62.3,58.9,89.9,68.8,16.0,23,72.5
386,Sangli,80.1,95.6,95.0,42.5,35.0,27.2,18.6,89.2,81.4,84.7,96.8,90.3,16.0,23,72.5
387,Palghar,86.3,97.0,96.5,52.1,33.0,37.1,23.9,100.0,94.0,75.1,91.1,77.6,16.0,23,72.5
388,Satara,81.7,94.5,95.1,48.7,20.2,28.0,20.5,91.7,87.5,78.7,95.6,87.2,16.0,23,72.5
389,Bhandara,79.0,87.5,90.1,66.1,31.3,33.9,28.4,94.9,89.5,81.8,92.0,89.1,16.0,23,72.5
390,Gadchiroli,86.8,91.5,93.7,67.3,35.7,35.4,30.0,100.0,100.0,62.4,83.0,79.4,16.0,23,72.5
391,Solapur,81.9,89.6,89.2,60.2,36.3,32.9,23.2,88.3,85.1,67.8,90.4,76.4,16.0,23,72.5
392,Washim,60.0,83.4,83.4,53.9,35.3,39.3,31.7,88.0,79.0,61.5,73.7,78.0,16.0,23,72.5
393,Parbhani,47.4,64.4,66.8,60.2,37.6,41.8,22.8,77.2,55.9,60.1,89.0,73.4,16.0,23,72.5
394,Aurangabad,57.2,76.4,82.6,47.4,34.2,42.9,26.4,81.5,62.4,69.1,91.7,83.1,16.0,23,72.5
395,Jalna,58.4,74.0,78.9,54.6,38.0,39.0,22.2,75.9,66.4,63.6,82.8,71.8,16.0,23,72.5
396,Jiribam,87.1,85.4,81.0,36.0,18.4,14.4,11.7,81.9,79.0,59.5,90.2,90.0,6.0,9,70.43913043
397,Chandel,66.6,55.0,51.1,37.8,34.0,14.7,8.3,60.6,69.3,85.2,68.6,80.2,6.0,9,70.43913043
398,Senapati,64.9,37.0,36.0,23.8,27.3,12.9,10.7,75.2,70.9,84.4,64.4,81.9,6.0,9,70.43913043
399,Kamjong,38.8,44.9,44.8,20.6,27.1,16.0,11.6,53.2,49.8,81.4,50.9,86.9,6.0,9,70.43913043
400,Churachandpur,61.3,58.2,56.8,28.7,25.1,9.8,12.1,71.9,77.4,81.2,62.5,84.2,6.0,9,70.43913043
401,Imphal East,87.1,85.4,81.0,36.0,18.4,14.4,11.7,81.9,79.0,59.5,90.2,90.0,6.0,9,70.43913043
402,Kakching,89.9,75.6,73.0,19.2,31.5,14.9,8.3,77.4,80.2,61.3,72.5,85.4,6.0,9,70.43913043
403,Tengnoupal,66.6,55.0,51.1,37.8,34.0,14.7,8.3,60.6,69.3,85.2,68.6,80.2,6.0,9,70.43913043
404,Bishnupur,77.4,79.0,65.3,33.3,15.5,11.7,7.9,70.5,84.1,52.6,77.7,88.4,6.0,9,70.43913043
405,Ukhrul,38.8,44.9,44.8,20.6,27.1,16.0,11.6,53.2,49.8,81.4,50.9,86.9,6.0,9,70.43913043
406,Imphal West,93.4,90.8,91.7,25.0,15.6,10.2,9.3,88.5,76.0,58.7,89.1,92.5,6.0,9,70.43913043
407,Pherzawl,61.3,58.2,56.8,28.7,25.1,9.8,12.1,71.9,77.4,81.2,62.5,84.2,6.0,9,70.43913043
408,Noney,56.4,52.7,49.2,29.1,27.1,19.3,9.6,77.8,71.2,77.9,51.6,76.8,6.0,9,70.43913043
409,Tamenglong,56.4,52.7,49.2,29.1,27.1,19.3,9.6,77.8,71.2,77.9,51.6,76.8,6.0,9,70.43913043
410,Thoubal,89.9,75.6,73.0,19.2,31.5,14.9,8.3,77.4,80.2,61.3,72.5,85.4,6.0,9,70.43913043
411,Kangpokpi,65.01,37.24,36.224,23.861,27.256,12.907,10.705,75.233,70.94,84.276,64.528,81.94,6.0,9,70.43913043
412,West Jaintia Hills,43.1,28.6,30.8,54.2,48.7,28.3,9.7,72.3,65.2,75.1,70.6,80.0,29.0,11,70.43913043
413,Ri Bhoi,61.0,39.5,39.3,57.1,42.5,29.6,17.9,80.9,77.1,85.3,86.2,89.5,29.0,11,70.43913043
414,North Garo Hills,24.3,40.5,41.8,65.2,35.6,15.8,11.7,58.1,54.7,84.9,51.5,86.1,29.0,11,70.43913043
