index,State,Total District Hospitals,Life Expectancy,IMR,73,74,39,4,33,34,35,22,19,80,81,97
0,Andaman And Nicobar Islands,3,70.43913043,19.02777778,78.93333333333334,88.56666666666666,92.2,46.333333333333336,23.23333333333333,28.266666666666666,18.433333333333334,49.66666666666666,49.36666666666667,86.39999999999999,96.3,86.06666666666666
1,Andhra Pradesh,14,70.0,24.0,68.71538461538461,90.54615384615384,92.37692307692308,60.47692307692308,30.384615384615383,28.76923076923077,16.084615384615383,87.1923076923077,75.21538461538461,76.7,96.35384615384616,67.64615384615385
2,Arunachal Pradesh,17,70.43913043,21.0,35.00924,56.733720000000005,56.2758,45.5744,27.29844,14.21484,13.43964,81.2744,69.43504,84.2762,94.82932,70.814
3,Assam,25,66.9,36.0,52.32121212121212,66.0969696969697,70.42727272727272,67.14545454545456,35.696969696969695,31.609090909090902,20.687878787878788,83.34545454545454,73.47272727272727,70.10909090909091,85.43030303030302,77.4030303030303
4,Bihar,36,69.1,27.0,25.93684210526316,60.54473684210526,62.3421052631579,66.59473684210526,42.58947368421053,41.72631578947368,24.24736842105263,86.77631578947368,76.56842105263158,49.47368421052632,99.01052631578948,57.642105263157895
5,Chhattisgarh,26,65.2,38.0,61.11785714285714,82.425,79.90714285714286,62.73214285714285,35.31785714285714,33.03214285714286,19.260714285714283,89.35714285714286,83.81428571428572,73.08214285714286,94.74642857142858,68.175
6,Delhi,47,75.3,19.02777778,79.39999999999999,85.89999999999999,86.7090909090909,51.51818181818182,30.71818181818181,22.12727272727273,11.71818181818182,90.2909090909091,80.80000000000001,81.0909090909091,99.42727272727274,83.8
7,Goa,2,70.43913043,5.0,93.65,96.3,96.95,44.35,26.25,23.4,19.55,46.1,42.75,87.95,98.55,93.1
8,Gujarat,22,69.9,23.0,77.57878787878788,88.97272727272727,88.01818181818182,68.27575757575757,38.66060606060606,40.33030303030304,26.13939393939394,87.78181818181818,81.3,71.73333333333333,96.84242424242424,74.74848484848485
9,Haryana,22,69.8,28.0,60.57272727272727,91.62727272727273,91.3818181818182,63.08636363636364,26.55,20.91363636363636,11.536363636363635,90.0035442057942,80.78573751248751,85.02727272727272,98.6,79.39999999999999
10,Himachal Pradesh,12,72.9,17.0,71.78333333333333,85.64999999999999,86.03333333333335,55.475,31.55,24.683333333333334,16.108333333333334,95.26666666666668,89.5,80.90833333333333,95.01666666666668,90.25
11,Jammu And Kashmir,21,74.0,19.02777778,79.61,82.89500000000001,80.77000000000001,77.24,26.15,21.065,19.235,92.195,88.55499999999999,73.75,90.355,75.045
12,Jharkhand,23,69.1,25.0,38.80833333333333,69.35416666666667,68.57083333333334,66.42916666666666,40.1875,40.4,23.10833333333333,87.8125,78.2,55.3125,84.72500000000001,59.74166666666667
13,Karnataka,15,69.4,19.0,72.58333333333333,88.19666666666667,86.27333333333333,48.943333333333335,34.580000000000005,31.296666666666667,19.23,93.08666666666666,89.67666666666668,74.59666666666666,94.94333333333334,75.83
14,Kerala,18,75.3,6.0,78.03571428571429,93.0,91.25714285714284,31.385714285714283,23.27857142857143,19.37142857142857,15.064285714285717,69.80714285714285,66.61428571428571,98.6,94.23571428571428,97.87857142857142
15,Ladakh,2,74.0,16.0,78.8,79.55,76.65,96.95,30.4,20.4,17.45,93.15,88.2,42.35,88.65,76.80000000000001
16,Madhya Pradesh,51,66.5,43.0,57.97058823529412,83.80392156862744,83.80588235294118,58.817647058823525,35.19803921568627,33.19019607843137,19.31764705882353,88.5281160310278,83.14036619263089,64.00196078431372,87.94705882352942,64.07254901960783
17,Maharashtra,23,72.5,16.0,70.87965714285714,85.96534285714286,88.09022857142857,56.762257142857145,35.17857142857143,36.71297142857143,25.923542857142856,85.1,80.16285714285713,71.95762857142857,91.53468571428571,82.51251428571429
18,Manipur,9,70.43913043,6.0,68.806875,61.7275,58.814,28.0475625,25.7535,14.1191875,10.1128125,72.18956250000001,72.23375,73.311,68.0205,84.48375
19,Meghalaya,11,70.43913043,29.0,46.10909090909091,48.5,47.28181818181818,54.66363636363636,42.98181818181818,25.43636363636364,13.69090909090909,78.36363636363636,75.05454545454546,83.38181818181819,73.49090909090908,85.95454545454545
20,Mizoram,9,70.43913043,3.0,56.55963636363636,68.36336363636363,39.902545454545454,35.33981818181818,29.437727272727276,13.13781818181818,10.094818181818182,84.03527272727273,80.60809090909092,95.49581818181818,95.78327272727272,93.90818181818182
21,Nagaland,11,70.43913043,4.0,17.181916666666666,40.174416666666666,38.54108333333333,34.5905,33.49166666666667,27.16616666666667,18.65008333333333,73.29241666666667,65.11825,88.51708333333333,89.94983333333334,83.95058333333333
22,Odisha,32,69.3,36.0,79.91000000000001,88.53,88.51333333333334,65.4,31.65333333333333,30.246666666666663,18.466666666666665,96.60666666666664,93.06333333333332,59.65,90.26666666666668,67.79
23,Puducherry,5,70.43913043,6.0,85.025,95.25,95.8,51.225,28.925,21.025,11.65,96.175,89.925,88.19999999999999,99.475,90.175
24,Punjab,22,72.7,18.0,57.97826086956522,86.7304347826087,85.69130434782609,60.70869565217391,25.3,17.678260869565218,10.795652173913044,88.95217391304348,80.47391304347826,86.76086956521739,98.58260869565218,79.02173913043478
25,Rajasthan,27,68.7,32.0,56.72727272727273,85.9060606060606,87.3090909090909,60.03030303030303,31.74242424242424,28.4,18.045454545454547,91.15757575757576,84.47272727272727,68.57575757575758,95.81515151515153,62.91818181818182
26,Sikkim,4,70.43913043,5.0,64.525,70.94999999999999,70.025,47.625,24.9,13.7,11.975,70.45,69.7,87.35,92.875,86.925
27,Tamil Nadu,31,72.1,13.0,90.44007894736842,93.05513157894735,94.46886842105263,52.57784210526316,25.661894736842108,22.058815789473684,14.557342105263157,95.66452559282824,90.90879540196644,71.50471052631579,98.41723684210528,83.54476315789474
28,Telangana,6,69.6,21.0,69.85757575757576,87.43030303030302,89.33636363636363,64.64545454545456,33.44242424242424,32.89393939393939,22.303030303030305,92.04848484848485,81.61818181818182,74.3090909090909,98.38484848484848,63.8
29,The Dadra And Nagar Haveli And Daman And Diu,3,70.43913043,19.02777778,84.03333333333335,91.56666666666666,90.86666666666667,63.1,35.43333333333333,33.300000000000004,21.166666666666668,94.26666666666668,92.26666666666668,73.3,96.83333333333331,83.16666666666667
30,Tripura,7,70.43913043,18.0,49.775,68.4125,69.4,68.0875,32.9625,26.1625,18.9125,85.8125,71.3625,71.6125,85.225,79.3625
31,Uttar Pradesh,157,65.3,38.0,42.036,72.17866666666666,70.46933333333332,52.832,39.63466666666667,32.31733333333334,17.692,83.804,74.93733333333334,68.98400000000001,99.06266666666666,65.34266666666666
32,Uttarakhand,18,70.9,24.0,59.715384615384615,77.20769230769231,78.0,40.715384615384615,27.29230769230769,19.161538461538463,12.461538461538462,93.06153846153846,86.46923076923076,82.30000000000001,93.46923076923076,82.53846153846153
33,West Bengal,23,71.6,19.0,75.20434782608696,69.24347826086957,78.01304347826087,70.89565217391304,32.952173913043474,32.65217391304348,21.565217391304348,94.50434782608696,89.8695652173913,67.69565217391305,96.51739130434784,74.71304347826087
