Output Feature,Input Features
6,"[75, 90]"
7,"[46, 51, 59, 74, 79, 90, 91]"
9,"[46, 59, 70, 72, 74, 79]"
10,"[59, 63, 66, 73, 79, 95, 98, 101, 103, 105]"
37,"[13, 46, 59, 70, 71, 74, 79]"
39,"[37, 46, 51, 53, 59, 63, 70, 73, 74, 75, 79, 91]"
70,"[39, 46, 59, 73, 74, 79, 103]"
71,"[46, 59, 63, 66, 73, 74, 79, 98, 103]"
73,"[12, 13, 39, 46, 53, 59, 70, 72, 74, 79]"
74,"[46, 51, 53, 59, 63, 70, 73, 79]"
101,"[54, 63, 79, 95, 96, 98, 100, 105]"
