index,2,73,74,39,33,34,80,97,overall_health_condition
59,Deoghar,30.7,55.6,56.4,41.7,36.9,41.6,50.7,-0.9431372760466424
60,Saran,30.7,54.1,58.3,39.7,45.0,37.2,65.6,-0.7375280273757756
61,Supaul,30.9,60.7,64.2,42.3,45.0,50.7,42.1,-0.7213392980780745
62,Panna,30.9,73.5,74.6,45.1,39.2,43.8,55.7,-0.4285881914771587
63,Siang,31.1,56.0,55.4,21.3,8.8,91.2,85.3,-0.8133736972650433
64,Lepa Rada,31.173,59.263,58.814,30.133,17.574,84.586,69.825,-0.7173814007351931
65,Basti,31.5,83.8,81.6,35.9,39.2,64.2,63.2,-0.1497192873472984
66,Hoshangabad,31.5,67.6,71.8,34.8,27.2,68.5,67.6,-0.4819731674864358
67,Nawada,31.6,74.1,80.5,49.4,37.3,47.9,62.1,-0.1953176769980139
68,Kathua,31.6,81.2,77.1,21.8,25.9,75.4,87.7,-0.2541725612288885
69,Banka,31.7,72.3,74.7,46.7,45.8,38.2,55.7,-0.3707548835108201
70,Amethi,31.7,76.3,73.7,35.8,33.1,60.9,63.3,-0.404241049011678
71,Upper Subansiri,32.1,56.7,56.7,36.8,19.2,80.9,62.3,-0.7337432497120702
72,Lower Siang,32.156,58.834,59.798,24.545,13.57,86.006,78.711,-0.7428283607376215
73,Anjaw,32.3,55.8,57.3,23.6,16.0,86.8,66.4,-0.918582974906264
74,Chatra,32.4,61.2,59.1,42.2,39.8,48.1,57.7,-0.6598766579978714
75,Cachar,32.7,57.3,61.4,28.7,38.2,57.6,77.2,-0.6269517982238023
76,Sambhal,32.9,67.5,67.5,51.6,29.8,72.8,51.3,-0.3180355384888847
77,Chandauli,32.9,65.2,63.5,39.5,29.9,66.7,70.6,-0.4284910796775687
78,Lawngtlai,33.0,46.2,28.4,32.7,16.9,90.3,76.0,-0.9391712511522128
79,Rewa,33.0,77.7,77.8,37.0,31.5,46.1,62.3,-0.4936802454587219
80,Moradabad,33.2,76.1,74.7,34.7,27.0,79.0,66.7,-0.2756860156530195
81,Bharatpur,33.2,75.9,76.8,40.3,29.1,62.7,61.1,-0.3471745737466804
82,South Garo Hills,33.3,65.9,61.7,29.8,20.8,88.4,88.6,-0.3159095108604659
83,Bhojpur,33.5,56.1,62.4,40.7,44.0,45.9,64.1,-0.590980685277459
84,Etah,33.6,60.2,61.6,48.8,30.6,62.7,67.8,-0.3788926905856202
