Output Feature,Model,RMSE,R2 Score
6,Linear Regression,5.936839966394715,0.7658473446189678
6,Ridge Regression,5.936722422191167,0.7658566165599576
6,Lasso Regression,5.92107903000147,0.7670889365982589
6,Random Forest,6.2649104348400115,0.7392537111749606
6,Support Vector Regressor (SVR),7.731300085974228,0.6029058731761163
7,Linear Regression,6.590858014894832,0.7982427576543553
7,Ridge Regression,6.590823182279136,0.7982448902185525
7,Lasso Regression,6.637441892542361,0.7953806570820574
7,Random Forest,5.9343041602129825,0.8364370910589771
7,Support Vector Regressor (SVR),8.267470198601714,0.6825389138737263
9,Linear Regression,2.962667995060374,0.9025166314219547
9,Ridge Regression,2.962682777389471,0.9025156586266005
9,Lasso Regression,2.958671083335198,0.9027794820650484
9,Random Forest,2.9125977011233695,0.9057838050016488
9,Support Vector Regressor (SVR),4.704033521132641,0.7542432970846966
10,Linear Regression,9.925397327204479,0.6012645876519421
10,Ridge Regression,9.925435394870759,0.6012615290427561
10,Lasso Regression,9.96799209337669,0.5978349042781881
10,Random Forest,7.995599569042258,0.7412436137466489
10,Support Vector Regressor (SVR),10.450170952812796,0.5579862336004153
37,Linear Regression,5.630342491765144,0.6036423659361135
37,Ridge Regression,5.630586466164356,0.6036080151978005
37,Lasso Regression,5.680472152942723,0.596553018598682
37,Random Forest,4.727503091624047,0.7205647160012365
37,Support Vector Regressor (SVR),5.837842662220684,0.5738893665076885
39,Linear Regression,5.038617013134289,0.8855853244456184
39,Ridge Regression,5.038729871968162,0.8855801988917446
39,Lasso Regression,5.1845891610781925,0.8788599548847605
39,Random Forest,4.545481938792081,0.9068851583977903
39,Support Vector Regressor (SVR),7.3400787200195525,0.757193409216035
70,Linear Regression,10.925441064207908,0.7471572870798258
70,Ridge Regression,10.925441738469654,0.7471572558715345
70,Lasso Regression,10.917942101294669,0.7475042584123934
70,Random Forest,10.69988802252628,0.7574892751849869
70,Support Vector Regressor (SVR),12.25902730533413,0.6816649132396255
71,Linear Regression,9.795802248874258,0.7040778661186541
71,Ridge Regression,9.795773563110327,0.7040795992569576
71,Lasso Regression,9.780093460379655,0.7050262010905222
71,Random Forest,9.002117884865141,0.7500881651728026
71,Support Vector Regressor (SVR),10.327236782099657,0.6710986162679999
73,Linear Regression,10.72887687528645,0.73990404354759
73,Ridge Regression,10.728798642108538,0.739907836686291
73,Lasso Regression,10.697346131157348,0.7414305720545784
73,Random Forest,9.670733364886129,0.7886783969129896
73,Support Vector Regressor (SVR),11.311209306895986,0.7109032859023203
74,Linear Regression,7.461141549045526,0.7185428834816721
74,Ridge Regression,7.461150511161926,0.7185422073242936
74,Lasso Regression,7.5026031090821315,0.7154060778922777
74,Random Forest,7.065865858851579,0.7475749492592838
74,Support Vector Regressor (SVR),8.115192274773491,0.6670344486207721
101,Linear Regression,7.004718728263363,0.7127907857473015
101,Ridge Regression,7.004708149173107,0.7127916532796104
101,Lasso Regression,6.991230443491418,0.713895820788159
101,Random Forest,6.264018142316703,0.7703201052255568
101,Support Vector Regressor (SVR),7.323709135271957,0.6860365141791689
