index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy,overall_health_condition
179,Ambedkar Nagar,44.5,76.8,74.5,55.0,31.1,29.2,17.8,83.5,76.7,63.6,100.0,76.2,38.0,157,65.3,-0.0297071482750174
180,Dhanbad,44.6,73.2,74.3,69.9,27.0,25.1,14.0,83.9,66.1,67.6,88.9,69.7,25.0,23,69.1,-0.3613891534774411
181,Aligarh,44.7,82.1,80.3,52.5,35.0,26.3,10.9,81.8,72.4,69.4,100.0,66.0,38.0,157,65.3,-0.0872233537507322
184,Churu,45.0,73.9,75.2,51.2,27.1,23.4,16.5,88.1,79.1,80.2,98.2,63.9,32.0,27,68.7,-0.2761403305115067
183,Sehore,45.0,74.4,80.4,50.5,21.9,27.6,20.3,80.8,65.7,75.2,92.2,64.3,43.0,51,66.5,-0.279908678886773
182,Pali,45.0,96.4,94.7,69.7,35.9,35.9,18.3,97.4,91.5,81.8,96.2,74.4,32.0,27,68.7,0.338760350562274
185,Sonitpur,45.5,63.5,67.4,55.5,36.7,21.9,13.1,80.4,76.5,72.2,82.9,76.9,36.0,25,66.9,-0.2899924775053649
186,Lalitpur,45.7,71.1,64.8,42.0,46.6,34.8,18.7,81.9,77.8,64.2,96.6,55.3,38.0,157,65.3,-0.0645942364871815
187,Prayagraj,45.9,67.5,59.6,49.1,37.9,32.6,15.1,70.9,58.4,59.5,95.8,67.7,38.0,157,65.3,-0.2252078039177296
188,Nuh,45.9,65.9,66.9,66.4,44.4,37.3,14.2,65.7,57.8,71.7,97.1,41.9,28.0,22,69.8,-0.308429289933163
189,Mahoba,46.2,86.3,80.8,53.5,42.3,33.4,25.0,78.2,78.8,69.0,94.3,65.6,38.0,157,65.3,0.2045257018277748
190,Nagaur,46.2,80.8,85.5,55.2,31.5,26.2,16.2,92.0,82.7,79.0,96.9,67.2,32.0,27,68.7,-0.0769136061879262
191,Kannauj,46.4,70.3,66.8,68.8,43.0,33.5,21.5,82.2,62.9,70.1,99.9,64.8,38.0,157,65.3,0.0799924688363941
192,Damoh,46.4,75.8,78.8,57.0,40.3,32.3,16.2,78.6,68.3,40.6,81.0,61.6,43.0,51,66.5,-0.2793809643803143
193,Biswanath,46.5,56.5,58.1,67.8,42.7,41.0,27.1,87.2,69.2,76.6,76.2,69.2,36.0,25,66.9,-0.0067383510623782
194,West Karbi Anglong,46.7,55.7,60.5,58.8,40.9,31.1,23.2,66.6,52.9,76.7,44.7,73.9,36.0,25,66.9,-0.254306027563014
195,Dima Hasao,46.9,75.7,78.6,63.9,25.7,28.0,24.0,80.1,65.8,80.5,93.6,72.8,38.0,26,65.2,-0.1737102440015834
196,Gaurella Pendra Marwahi,46.9,69.7,67.4,67.1,26.3,25.0,16.3,84.4,70.9,82.3,81.8,74.0,21.0,17,70.43913043,-0.2599946893148249
197,Changlang,46.9,61.4,67.0,72.5,22.6,19.7,14.8,83.0,70.1,68.7,92.1,79.6,36.0,25,66.9,-0.4086426370825798
198,Kamrup,46.9,75.7,78.6,63.9,25.7,28.0,24.0,80.1,65.8,80.5,93.6,72.8,38.0,26,65.2,-0.1737102440015834
199,Bilaspur,46.9,73.8,76.8,70.9,30.6,21.7,23.6,71.7,73.6,83.8,50.2,87.7,36.0,25,66.9,-0.0436278928713489
200,Sultanpur,47.0,70.5,69.4,45.4,33.4,28.3,10.7,89.3,81.3,65.1,99.5,71.9,38.0,157,65.3,-0.1441668583023678
201,Sawai Madhopur,47.3,75.2,82.8,64.6,26.9,24.2,22.0,77.5,62.5,71.2,92.5,55.7,32.0,27,68.7,-0.326808163250933
202,Parbhani,47.4,64.4,66.8,60.2,37.6,41.8,22.8,77.2,55.9,60.1,89.0,73.4,16.0,23,72.5,-0.1080747244101315
205,Jaisalmer,47.6,82.3,79.4,41.4,40.5,30.3,14.8,81.1,78.7,62.6,99.1,75.9,38.0,157,65.3,0.0703108016784039
206,Kodarma,47.6,75.8,78.0,61.2,34.6,31.7,18.0,85.0,76.1,54.0,83.9,63.6,25.0,23,69.1,-0.2823579915029747
203,Jaunpur,47.6,82.5,82.8,54.0,37.6,26.5,13.8,77.9,70.9,81.5,100.0,69.2,38.0,157,65.3,0.0878937162135551
204,Bulandshahr,47.6,80.1,79.0,53.8,25.5,31.7,25.0,80.3,76.1,75.7,95.2,62.2,32.0,27,68.7,-0.1517060693226616
207,Sangrur,47.7,86.6,87.9,62.7,23.4,18.1,10.4,95.9,95.8,92.4,99.7,78.3,18.0,22,72.7,0.0125478122084194
208,Malerkotla,47.7,86.6,87.9,62.7,23.4,18.1,10.4,95.9,95.8,92.4,99.7,78.3,18.0,22,72.7,0.0125478122084194
209,West Garo Hills,48.0,70.9,67.2,62.0,39.5,26.3,14.9,87.4,84.1,86.3,83.7,89.0,29.0,11,70.43913043,0.1282028853125078
210,Kheri,48.0,60.5,55.7,52.5,47.6,36.3,15.8,78.4,69.5,65.6,99.9,57.5,38.0,157,65.3,-0.1002971723273765
211,Gurugram,48.1,87.7,87.6,77.6,22.1,22.2,15.7,81.8,68.4,84.5,99.7,85.4,28.0,22,69.8,0.0261953962275196
212,Bathinda,48.2,78.7,81.3,59.4,23.0,23.8,15.4,87.3,69.1,88.4,99.1,69.2,18.0,22,72.7,-0.1513218887672088
213,Ferozepur,48.4,83.9,84.7,61.1,30.0,22.0,12.9,89.9,78.4,84.8,95.6,75.4,18.0,22,72.7,-0.0124487146000184
214,Haridwar,48.5,74.2,76.6,31.5,31.1,27.0,16.4,89.4,84.1,69.8,99.6,73.7,24.0,18,70.9,-0.2075825290261592
216,Lower Dibang Valley,48.6,58.6,58.4,39.4,14.3,9.7,7.6,84.4,77.8,89.9,99.5,80.0,21.0,17,70.43913043,-0.643915140777871
215,Jashpur,48.6,82.7,80.7,60.3,35.8,33.6,17.0,96.9,95.5,72.8,88.8,73.1,38.0,26,65.2,0.0258257703176778
217,Bokaro,48.7,73.5,70.0,68.2,36.2,32.3,19.7,92.3,76.9,64.4,86.4,69.2,25.0,23,69.1,-0.1321792392754811
218,Bijnor,48.8,82.4,81.9,46.8,36.2,21.9,9.4,92.6,90.6,78.2,99.7,72.8,38.0,157,65.3,0.0535752652456459
219,Umaria,48.9,78.5,80.4,46.9,29.3,20.7,12.8,98.0,85.0,84.6,84.1,74.9,24.0,18,70.9,-0.1323942226306158
220,Surajpur,48.9,83.0,81.2,53.1,27.6,32.3,19.3,83.3,79.7,75.4,83.4,66.9,38.0,26,65.2,-0.1853174829880978
221,Tehri Garhwal,48.9,89.7,87.9,55.3,45.3,36.6,15.5,94.5,95.6,53.7,79.5,63.0,43.0,51,66.5,0.1050181033577137
222,Dewas,49.1,84.3,82.7,59.0,36.8,30.7,20.4,96.5,88.5,69.6,93.6,64.2,43.0,51,66.5,0.0719720461201838
223,Jhunjhunu,49.2,92.8,93.2,66.3,25.1,18.9,9.9,90.5,82.1,79.3,99.9,83.8,28.0,22,69.8,0.0015955216757518
224,Panipat,49.2,84.6,86.6,57.0,20.9,19.6,13.9,94.6,90.2,79.0,98.4,74.4,32.0,27,68.7,-0.1550463543196677
225,Gumla,49.3,76.7,70.7,70.5,34.7,27.9,14.7,83.9,72.2,73.3,82.2,73.2,38.0,26,65.2,-0.1763773150586935
226,Korba,49.3,82.4,78.4,61.3,40.2,38.7,20.1,95.3,86.4,50.1,75.2,63.7,25.0,23,69.1,-0.0878738890569246
227,Mansa,49.4,84.3,83.2,63.5,36.6,22.7,12.1,89.3,85.3,85.4,99.3,67.4,18.0,22,72.7,0.0316724253906062
228,Baloda Bazar,49.5,72.6,69.7,60.2,40.9,34.1,19.4,89.8,80.3,78.9,94.8,73.4,38.0,26,65.2,0.0196036525374208
229,Jind,49.6,96.4,94.5,50.7,25.5,22.9,8.8,84.2,86.2,88.5,96.2,81.3,28.0,22,69.8,0.0390487275442356
230,Udalguri,49.8,53.1,62.9,72.6,33.8,32.5,21.3,75.9,48.6,73.8,82.3,70.0,36.0,25,66.9,-0.2757194554610962
231,Meerut,49.9,81.2,81.2,45.1,32.1,23.7,10.2,92.4,83.3,82.7,99.7,79.0,38.0,157,65.3,0.0800102106921459
232,Dimapur,50.083,68.693,64.693,36.686,28.3,29.794,25.001,74.609,61.319,81.105,92.398,86.607,4.0,11,70.43913043,-0.2981718300224555
233,Auraiya,50.4,77.8,73.3,44.0,39.7,32.6,19.4,89.4,84.7,74.3,99.5,74.9,38.0,157,65.3,0.1886499277482516
234,Sikar,50.4,72.5,72.5,59.3,40.4,32.1,17.6,91.7,80.7,79.0,100.0,57.0,38.0,157,65.3,0.0774270922379424
235,Rampur,50.4,83.5,87.8,42.1,23.1,18.3,12.8,86.5,77.6,77.9,99.4,71.8,32.0,27,68.7,-0.2658425194546499
236,Bikaner,50.5,81.2,80.8,63.6,22.8,28.5,25.6,85.1,80.4,79.8,94.9,62.5,32.0,27,68.7,-0.1051676510385285
237,Dungarpur,50.6,92.6,92.4,77.3,31.4,25.9,15.6,96.8,84.8,59.9,94.1,66.0,32.0,27,68.7,-0.031837540657578
238,North Delhi,50.6,68.9,73.4,47.7,25.0,17.4,8.9,88.7,70.9,70.2,99.3,80.0,19.02777778,47,75.3,-0.2249864820735618
239,Koppal,50.7,80.7,79.5,55.3,49.1,45.8,23.1,90.3,84.8,58.8,96.0,59.8,19.0,15,69.4,0.0773375135519746
240,East Godavari,51.0,91.9,93.5,65.2,23.1,22.4,14.3,76.7,66.3,77.7,97.9,77.9,24.0,14,70.0,-0.1131092699985141
241,Faridabad,51.2,93.5,93.3,55.9,28.9,19.5,8.0,85.1,74.4,84.2,97.9,82.3,28.0,22,69.8,0.0012587420581833
242,Hojai,51.3,63.9,68.4,54.3,39.3,28.4,12.7,59.3,60.9,63.1,99.9,83.2,36.0,25,66.9,-0.2326530895212565
243,Kapurthala,51.4,85.1,82.0,42.0,37.4,39.0,21.0,89.5,87.1,83.2,98.4,79.0,38.0,157,65.3,0.3946480237369164
244,Varanasi,51.4,88.4,86.4,63.3,24.6,19.2,12.8,90.5,69.5,87.7,99.4,84.1,18.0,22,72.7,0.0186658190171606
245,Satna,51.5,81.3,79.7,65.1,49.4,31.2,16.8,88.4,76.3,55.4,92.7,69.1,43.0,51,66.5,0.1030026981991492
246,Lakhimpur,51.7,67.7,77.0,71.5,38.5,34.4,18.2,86.3,74.3,74.2,81.2,83.9,36.0,25,66.9,0.0961505343621515
247,Dhalai,52.0,72.4,73.1,65.4,45.7,27.6,15.9,90.2,73.7,67.6,70.3,71.6,18.0,7,70.43913043,-0.1127336491756756
248,Balrampur,52.1,78.6,72.7,55.6,35.1,38.8,23.0,89.2,76.1,57.3,84.4,65.4,38.0,26,65.2,-0.1634250076274009
249,Chamoli,52.2,72.1,67.8,39.3,34.1,21.6,16.2,92.0,87.9,87.6,94.4,89.2,24.0,18,70.9,0.0139805324144673
250,Pathankot,52.4,88.5,82.4,57.4,22.1,10.8,10.3,91.9,77.4,79.2,98.6,88.7,18.0,22,72.7,-0.1335763065801683
251,Saharanpur,52.4,83.6,79.1,46.9,28.8,26.7,22.0,93.7,91.0,83.8,99.7,71.2,38.0,157,65.3,0.1492193590267339
253,Mamit,52.5,63.9,44.9,42.4,26.4,13.9,7.4,95.2,87.4,92.7,97.3,89.6,3.0,9,70.43913043,-0.4915480070646126
252,Mahrajganj,52.5,77.2,76.4,43.4,40.5,37.4,21.8,91.9,82.7,66.7,100.0,62.0,38.0,157,65.3,0.1265805780260847
254,Gautam Buddha Nagar,52.7,85.4,84.0,57.8,25.5,21.9,12.0,87.6,69.7,74.0,99.9,79.9,38.0,157,65.3,-0.0032851100433118
255,Shivpuri,52.7,88.1,84.7,54.6,39.2,36.1,18.4,78.4,68.7,55.5,86.8,56.7,43.0,51,66.5,-0.07760760564819
256,Ajmer,52.8,72.1,70.1,70.4,34.5,21.0,14.9,84.7,78.1,75.4,97.4,79.6,18.0,7,70.43913043,-0.1528903555193828
257,Sipahijala,52.8,82.3,82.0,54.4,22.3,23.1,20.0,93.5,80.5,77.5,98.1,68.4,32.0,27,68.7,-0.1639258140546639
258,Katni,52.9,94.0,93.0,54.9,29.0,31.8,24.9,91.9,81.1,46.3,88.6,53.5,32.0,27,68.7,-0.1943827332418894
259,Mayurbhanj,52.9,86.3,81.2,63.6,36.7,45.9,28.5,88.0,86.2,54.4,80.1,58.6,36.0,32,69.3,0.1467314495361176
260,Pratapgarh,52.9,82.2,83.7,61.0,49.5,44.0,21.8,97.5,93.0,53.5,94.0,67.2,43.0,51,66.5,0.3085958749352732
261,Hanumangarh,53.1,83.4,84.8,61.7,24.2,21.3,19.8,93.5,88.3,83.8,97.8,68.2,32.0,27,68.7,-0.0625855783756329
262,Lucknow,53.1,78.7,71.3,52.8,32.1,25.5,11.5,78.7,73.1,80.4,99.8,78.4,38.0,157,65.3,0.0264339928470716
263,Hapur,53.3,83.0,83.3,55.7,30.2,26.9,18.5,92.4,88.3,85.6,99.9,73.7,38.0,157,65.3,0.2081409966639038
265,Faridkot,53.4,81.7,84.3,58.9,28.1,20.7,10.3,86.1,72.5,87.5,92.5,72.6,18.0,22,72.7,-0.0968094496170661
266,Charki Dadri,53.4,93.9,91.9,71.1,23.9,16.9,10.6,94.8,86.1,90.4,97.3,83.6,28.0,22,69.8,0.0889234197713021
264,Palwal,53.4,82.7,83.0,59.7,31.0,21.0,9.9,86.7,75.0,80.3,96.7,68.3,28.0,22,69.8,-0.1507047243129736
267,Jaipur,53.5,89.4,92.6,53.6,25.0,20.8,14.6,98.6,89.3,79.6,99.9,72.4,32.0,27,68.7,-0.0430660149737849
268,Nanded,53.5,76.1,79.3,63.1,36.0,35.2,19.0,81.2,82.3,68.0,94.8,71.9,16.0,23,72.5,0.0387681384716437
269,Kalaburagi,53.6,89.7,93.1,61.6,37.7,33.5,20.7,96.1,95.0,59.4,99.4,60.3,32.0,27,68.7,0.0864410289612106
270,Dausa,53.6,79.6,78.1,61.4,34.5,36.2,25.0,84.0,81.9,36.5,92.5,68.2,19.0,15,69.4,-0.2371661648434249
271,Datia,54.2,82.0,82.2,59.5,36.8,29.4,16.4,88.6,81.5,66.8,95.8,67.2,43.0,51,66.5,0.0171295202407214
273,Mandla,54.4,67.9,62.6,55.6,44.1,32.8,12.5,73.5,63.9,70.6,99.4,70.8,38.0,157,65.3,0.0154100372520343
272,Saraikela-kharsawan,54.4,84.2,83.5,64.2,32.1,33.0,15.9,93.1,92.3,58.4,79.7,66.5,43.0,51,66.5,-0.0216867829239641
274,Kanpur Dehat,54.4,77.2,73.9,74.9,40.0,48.7,32.9,94.8,82.8,60.9,85.7,64.0,25.0,23,69.1,0.2039477724008334
275,Bemetara,54.6,91.5,91.9,50.3,38.4,27.6,16.4,95.7,93.4,80.5,98.8,71.1,38.0,26,65.2,0.1122963819232522
276,Alirajpur,54.7,79.9,74.6,76.5,34.6,31.6,15.4,87.3,84.1,84.7,89.6,40.8,43.0,51,66.5,-0.0868797729664691
277,Vikarabad,54.8,80.8,86.9,62.0,32.1,37.1,20.0,93.6,87.7,66.7,99.7,59.3,21.0,6,69.6,-0.0837719127306836
278,Kottayam,55.1,85.0,83.5,38.1,23.4,17.3,8.4,0.0,0.0,98.6,97.1,99.7,6.0,18,75.3,-0.2884317909597755
279,Bastar,55.1,69.2,64.6,80.3,48.1,45.2,20.4,81.4,61.8,61.0,94.1,52.9,38.0,26,65.2,-0.0726233988817948
280,Mahendragarh,55.2,73.3,78.1,51.9,27.6,26.8,22.4,85.8,71.9,47.8,74.2,52.1,43.0,51,66.5,-0.4415653998085672
281,Rajgarh,55.2,88.0,90.4,67.3,25.2,15.4,8.4,87.6,76.0,79.8,99.7,81.1,28.0,22,69.8,-0.0862632108232144
282,Bidar,55.3,89.6,86.5,51.7,36.8,36.1,22.1,81.8,87.2,56.5,98.9,73.8,19.0,15,69.4,0.0092639588571415
283,Thiruvananthapuram,55.3,86.2,88.0,20.9,19.5,15.2,17.4,93.4,76.3,95.4,92.9,98.5,6.0,18,75.3,0.0027315147388836
284,Raigarh,55.4,89.6,88.9,59.5,39.1,28.0,14.9,95.2,90.9,66.3,97.5,74.9,38.0,26,65.2,0.0580005388248174
285,Nalbari,55.9,73.8,73.2,66.8,27.5,26.7,15.4,87.7,73.4,68.1,99.5,83.9,36.0,25,66.9,-0.1219363663187511
286,Baksa,56.0,65.0,70.9,76.6,41.2,34.0,17.0,91.9,78.3,68.9,89.8,74.8,36.0,25,66.9,0.0360534877544578
287,Banas Kantha,56.1,86.1,87.4,65.8,39.0,44.1,25.5,63.7,52.2,53.9,93.6,63.7,23.0,22,69.9,0.0096232004723842
288,Kangra,56.3,79.1,73.9,55.8,29.6,33.7,23.3,85.5,74.9,69.6,99.8,68.8,38.0,157,65.3,0.0759173847488108
289,Gorakhpur,56.3,88.7,85.9,57.7,28.0,32.0,19.4,95.2,83.9,73.3,98.6,94.4,17.0,12,72.9,0.2533200325068969
290,Vijayapura,56.4,86.6,84.2,58.5,36.1,36.5,22.9,89.4,77.8,64.1,94.7,64.4,19.0,15,69.4,-0.0307641408005733
291,Ballari,56.4,52.7,49.2,29.1,27.1,19.3,9.6,77.8,71.2,77.9,51.6,76.8,6.0,9,70.43913043,-0.7821132283659357
292,Tamenglong,56.4,52.7,49.2,29.1,27.1,19.3,9.6,77.8,71.2,77.9,51.6,76.8,6.0,9,70.43913043,-0.7821132283659357
293,Noney,56.4,74.4,74.8,52.6,45.9,39.0,15.0,81.8,81.4,44.8,92.5,66.6,19.0,15,69.4,-0.1807805013430043
294,Chirang,56.5,82.9,80.9,64.2,38.9,33.6,15.8,85.4,88.6,47.9,66.1,63.7,43.0,51,66.5,-0.0752006434561098
295,Amritsar,56.5,59.7,63.0,68.8,42.7,39.7,19.5,89.3,77.9,77.1,92.1,71.5,36.0,25,66.9,0.069034586713457
296,Dindori,56.5,90.1,88.5,49.7,19.4,11.2,11.9,89.4,74.0,86.0,99.6,80.2,18.0,22,72.7,-0.161851010960967
299,Baleshwar,56.6,88.8,89.0,69.4,30.4,25.4,21.1,87.47797252747252,80.58622527472527,69.6,92.4,75.2,43.0,51,66.5,0.1185753594836323
298,Raisen,56.6,79.7,83.4,77.7,31.0,41.4,28.2,85.1,81.9,72.1,97.0,75.1,23.0,22,69.9,0.2295865141491822
297,Mahesana,56.6,87.6,86.9,57.3,24.4,22.6,15.0,100.0,94.1,70.9,98.5,73.8,36.0,32,69.3,-0.0056116932879206
300,Hnahthial,56.7,67.1,39.4,34.2,26.5,11.1,9.5,85.0,82.2,95.6,96.0,91.6,3.0,9,70.43913043,-0.5133961503037778
301,Lunglei,56.7,81.6,83.9,50.1,32.6,25.4,13.3,89.0,87.2,75.4,96.5,67.4,32.0,27,68.7,-0.085040481199393
302,Jodhpur,56.7,67.1,39.4,34.2,26.5,11.1,9.5,85.0,82.2,95.6,96.0,91.6,3.0,9,70.43913043,-0.5133961503037778
303,Medinipur East,56.8,48.5,58.1,73.8,25.8,30.6,15.5,91.7,90.6,69.8,87.8,77.0,19.0,23,71.6,-0.241596313527197
304,Beed,56.8,79.8,80.6,48.0,40.8,36.8,28.4,89.8,78.0,66.4,85.4,76.3,16.0,23,72.5,0.1893622275100371
305,Bijapur,56.9,64.9,58.2,68.7,53.8,46.1,20.0,83.8,84.6,30.6,94.3,44.7,38.0,26,65.2,-0.2714204632106114
306,Kendujhar,57.1,75.4,72.3,68.2,36.2,37.1,23.8,94.0,88.1,47.6,92.9,64.6,36.0,32,69.3,0.0063203191828798
307,Aurangabad,57.2,76.4,82.6,47.4,34.2,42.9,26.4,81.5,62.4,69.1,91.7,83.1,16.0,23,72.5,0.173542559860023
308,Ambala,57.4,83.2,79.3,53.3,44.0,39.2,20.4,94.1,94.5,61.4,79.2,68.5,43.0,51,66.5,0.2071671283331155
309,Shahdol,57.4,86.9,86.9,49.2,24.1,13.7,10.9,93.3,81.4,87.2,99.3,85.0,28.0,22,69.8,-0.0627177029586057
311,East Khasi Hills,57.5,78.4,73.4,56.9,39.2,41.8,27.1,78.4,67.8,63.8,96.9,75.1,23.0,22,69.9,0.1111056007606199
310,Surendranagar,57.5,33.6,41.6,40.0,44.6,23.8,11.2,56.6,53.2,80.9,90.0,93.7,29.0,11,70.43913043,-0.2897537370991736
312,Surguja,57.7,83.4,79.1,54.3,29.4,30.6,17.5,96.9,87.9,75.8,96.4,71.0,38.0,26,65.2,-0.0629274154264163
313,Purulia,57.8,51.5,68.4,79.2,36.9,46.3,29.4,93.2,88.2,29.2,87.6,61.0,19.0,23,71.6,-0.1635230275074033
314,Gariaband,57.8,86.3,82.3,63.2,28.9,22.1,21.9,94.2,85.4,81.0,96.8,68.9,38.0,26,65.2,-0.051884232302087
315,Uttara Kannada,57.9,87.4,87.8,44.6,29.6,33.3,21.9,96.7,93.6,89.6,84.8,84.3,19.0,15,69.4,0.1941241031031579
316,Ashoknagar,57.9,88.1,89.4,67.7,35.0,30.7,13.6,79.5,57.6,82.9,97.8,71.1,18.0,22,72.7,0.1186861180277264
317,Sri Muktsar Sahib,57.9,77.8,76.4,45.0,32.6,31.1,19.7,80.3,72.5,53.7,90.1,57.0,43.0,51,66.5,-0.2716933925484384
318,Singrauli,58.1,72.2,66.7,60.1,37.3,36.0,25.2,79.6,78.7,52.6,77.9,60.7,43.0,51,66.5,-0.1221503483600747
319,Nandurbar,58.2,74.4,74.2,69.2,45.8,57.2,30.7,86.5,77.0,54.1,94.6,57.7,16.0,23,72.5,0.2565149712064544
323,South Tripura,58.4,68.0,67.7,70.8,25.5,21.6,15.3,83.7,57.3,68.6,90.5,80.3,18.0,7,70.43913043,-0.351466675534859
322,Jalna,58.4,74.5,78.5,69.4,36.3,36.9,30.5,74.6,75.8,59.7,94.3,76.5,16.0,23,72.5,0.1391310270868576
321,Moga,58.4,87.4,88.2,60.8,22.0,16.8,12.0,87.3,80.6,87.8,99.2,74.7,18.0,22,72.7,-0.0698534440771702
320,Jalgaon,58.4,74.0,78.9,54.6,38.0,39.0,22.2,75.9,66.4,63.6,82.8,71.8,16.0,23,72.5,0.0115145987428545
324,Visakhapatnam,58.6,49.1,45.0,40.6,49.8,23.6,8.5,83.8,80.8,83.6,74.6,76.0,29.0,11,70.43913043,-0.1942569017759043
325,East Jaintia Hills,58.6,84.8,90.9,58.9,31.0,33.5,21.5,95.1,76.5,77.8,91.8,69.5,24.0,14,70.0,0.088747770271613
326,Ganganagar,58.7,92.4,85.4,51.5,29.9,35.0,17.7,97.2,95.7,68.9,99.1,71.5,19.0,15,69.4,0.012152675063154
327,Haveri,58.7,82.0,82.7,30.2,25.6,20.6,12.4,100.0,96.0,84.5,90.9,87.6,24.0,18,70.9,-0.0233462886886261
328,Pithoragarh,58.7,85.9,84.6,67.2,24.5,26.1,24.9,95.6,91.1,83.4,94.4,69.3,32.0,27,68.7,0.0914363978485493
329,Kabeerdham,58.9,93.0,94.3,45.4,37.9,27.3,12.0,96.9,96.9,80.3,97.9,66.2,38.0,26,65.2,0.0556284880647098
330,Narayanpur,59.1,76.9,71.3,72.0,43.7,39.5,21.5,87.3,84.5,52.8,90.5,52.0,38.0,26,65.2,-0.1112988395364187
334,Hamirpur,59.4,88.9,96.8,48.2,27.3,23.6,14.9,85.2,74.3,85.5,98.0,94.8,17.0,12,72.9,0.1949566279794633
333,Udupi,59.4,89.2,87.7,49.9,23.1,21.0,17.6,96.2,94.3,94.5,81.5,90.3,19.0,15,69.4,0.0766191024602133
331,Nagaon,59.4,62.0,65.3,65.1,38.9,32.4,19.4,67.3,67.2,66.1,96.1,78.4,36.0,25,66.9,-0.0942825004067791
332,North  District,59.4,71.3,72.0,45.6,31.8,15.3,4.5,96.9,90.8,83.8,94.7,81.4,5.0,4,70.43913043,-0.3624692432578153
335,Nainital,59.7,92.9,90.0,50.4,19.3,12.4,11.5,95.4,92.9,89.7,99.9,91.3,18.0,22,72.7,0.0508190459820221
336,Hoshiarpur,59.7,75.9,76.3,38.0,23.2,14.8,14.0,84.4,84.8,82.4,93.0,83.9,24.0,18,70.9,-0.211610615840628
337,Kurukshetra,59.8,95.3,96.5,57.7,24.9,22.5,12.8,94.6,73.6,82.6,99.9,83.0,28.0,22,69.8,0.0979984192731174
338,Kullu,60.0,84.6,86.6,55.5,35.9,25.6,16.1,91.5,82.5,81.2,94.3,87.4,17.0,12,72.9,0.2268910838656389
339,Washim,60.0,83.4,83.4,53.9,35.3,39.3,31.7,88.0,79.0,61.5,73.7,78.0,16.0,23,72.5,0.2030376500445701
340,Jhajjar,60.1,96.9,94.4,66.5,24.6,26.6,16.0,93.8,90.7,87.3,99.8,71.1,28.0,22,69.8,0.1609765245873897
341,Fatehabad,60.1,96.0,96.2,65.2,15.6,9.7,8.0,96.5,90.9,91.7,96.6,88.2,28.0,22,69.8,0.0006820746204515
342,Tarn Taran,60.3,84.5,84.0,62.9,34.7,36.2,29.8,95.6,93.7,72.8,94.7,64.3,43.0,51,66.5,0.2747756654225514
343,Ujjain,60.3,85.5,83.3,71.0,23.8,14.4,11.3,89.4,83.5,82.0,95.6,66.0,18.0,22,72.7,-0.16555996641887
344,Serchhip,60.345,85.397,43.243,30.127,31.55,14.297,8.544,86.018,85.8,98.157,97.7,99.493,3.0,9,70.43913043,-0.2370630341384269
345,Jabalpur,60.4,97.5,88.9,49.0,18.0,31.3,26.4,87.47797252747252,80.58622527472527,61.9,98.0,68.2,43.0,51,66.5,-0.033475297990055
346,Bhiwani,60.4,91.5,91.2,67.1,29.0,20.6,6.0,95.7,78.6,89.7,97.5,78.8,28.0,22,69.8,0.0875593938749516
347,Shahid Bhagat Singh Nagar,60.5,96.6,94.7,58.8,17.9,11.2,12.0,100.0,100.0,91.3,99.7,88.1,18.0,22,72.7,0.1033779962541403
348,Neemuch,60.6,93.3,92.9,57.7,33.0,27.7,13.1,91.4,88.7,68.9,91.7,67.3,43.0,51,66.5,0.0785346819771718
349,Rajsamand,60.7,82.6,79.2,63.3,30.3,23.7,16.6,86.7,79.1,72.1,94.8,67.7,32.0,27,68.7,-0.1000044175452891
350,Mandsaur,60.8,93.6,90.1,56.4,30.9,22.9,13.1,87.3,80.2,65.4,77.6,64.8,43.0,51,66.5,-0.093510328388065
351,Siddharthnagar,60.9,61.8,57.2,50.9,37.2,36.3,24.8,87.9,70.1,42.8,99.9,48.3,38.0,157,65.3,-0.2848224836444183
352,Ri Bhoi,61.0,39.5,39.3,57.1,42.5,29.6,17.9,80.9,77.1,85.3,86.2,89.5,29.0,11,70.43913043,-0.0285616955326015
353,Gurdaspur,61.1,86.0,83.8,54.7,25.1,15.3,9.5,87.8,87.0,85.4,97.6,82.0,18.0,22,72.7,-0.0417243119194461
355,Kheda,61.2,85.1,83.2,77.6,37.3,39.5,30.9,86.9,74.3,63.3,97.7,70.9,23.0,22,69.9,0.2461725148453709
354,West Tripura,61.2,87.7,88.7,64.9,30.3,21.2,11.7,94.1,88.4,80.2,98.5,86.2,18.0,7,70.43913043,0.066506916507376
356,Khargone,61.3,83.7,83.6,56.1,31.4,44.0,27.4,88.2,81.0,73.8,97.0,59.5,43.0,51,66.5,0.1929968573141619
357,Churachandpur,61.3,58.2,56.8,28.7,25.1,9.8,12.1,71.9,77.4,81.2,62.5,84.2,6.0,9,70.43913043,-0.6967544627614778
358,Pherzawl,61.3,58.2,56.8,28.7,25.1,9.8,12.1,71.9,77.4,81.2,62.5,84.2,6.0,9,70.43913043,-0.6967544627614778
359,Sirsa,61.9,97.4,98.4,64.9,25.0,23.4,12.6,87.47797252747252,80.58622527472527,81.9,99.3,70.6,28.0,22,69.8,0.0548511476024134
360,Ghaziabad,62.0,84.8,85.3,59.8,28.2,23.4,17.1,82.0,73.2,84.5,99.1,80.1,38.0,157,65.3,0.1962570884804089
