index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy,overall_health_condition
41,Lakhisarai,28.0,66.7,74.1,75.1,42.7,45.1,25.6,83.9,73.7,51.6,96.6,57.9,27.0,36,69.1,-0.1139103862161154
42,Muzaffarpur,28.2,55.9,55.9,66.1,42.6,34.7,19.9,91.9,75.9,55.2,99.9,63.0,27.0,36,69.1,-0.3223045002838687
43,Kohima,28.3,58.9,55.6,18.2,28.3,22.1,26.9,86.6,86.1,87.4,89.9,95.2,4.0,11,70.43913043,-0.4008606860822891
44,Sheikhpura,28.4,77.1,78.7,73.9,53.6,37.6,16.3,88.7,85.6,54.2,98.4,55.0,27.0,36,69.1,-0.0354692760218014
45,South West Garo Hills,28.5,60.6,55.1,67.3,32.2,26.4,19.9,92.1,91.1,71.4,58.6,82.6,29.0,11,70.43913043,-0.2306267710176216
46,Pakke Kessang,29.1,53.6,54.6,39.5,35.7,14.2,15.8,77.8,71.9,75.6,93.6,59.1,21.0,17,70.43913043,-0.7021688427324435
47,East Kameng,29.1,53.6,54.6,39.5,35.7,14.2,15.8,77.8,71.9,75.6,93.6,59.1,21.0,17,70.43913043,-0.7021688427324435
48,Ghazipur,29.2,71.5,69.1,49.8,39.3,38.3,25.7,76.5,67.6,64.1,99.3,72.4,38.0,157,65.3,0.0223253567167634
49,Nalanda,29.3,77.5,73.0,70.2,42.6,46.7,27.8,83.4,82.2,52.5,98.9,56.1,27.0,36,69.1,-0.0323703226622076
50,Aurangabad,29.3,71.5,72.0,56.9,41.2,48.7,32.9,96.8,91.3,47.1,100.0,67.6,27.0,36,69.1,0.0434013601993672
51,Garhwa,29.8,70.3,70.6,61.0,47.7,40.6,18.9,86.1,78.2,54.1,92.5,59.6,25.0,23,69.1,-0.1850294198253373
52,Alwar,30.0,72.9,76.2,55.3,33.9,24.0,15.6,81.0,72.5,66.0,97.6,63.2,32.0,27,68.7,-0.3734173414140064
53,Chitrakoot,30.3,50.3,49.6,51.9,47.5,41.8,24.8,80.7,68.0,56.7,97.0,56.2,38.0,157,65.3,-0.1959593238683016
54,Siwan,30.3,63.9,63.0,64.0,36.7,30.8,18.2,86.4,78.4,47.7,99.8,70.9,27.0,36,69.1,-0.3582610391510462
56,West Siang,30.4,61.4,60.6,36.7,24.5,16.2,15.1,86.6,57.5,87.7,99.1,76.1,21.0,17,70.43913043,-0.5616404555375542
55,Shi Yomi,30.4,61.4,60.6,36.7,24.5,16.2,15.1,86.6,57.5,87.7,99.1,76.1,21.0,17,70.43913043,-0.5616404555375542
57,Ballia,30.5,76.6,72.9,58.0,43.8,42.5,21.9,80.3,67.7,61.7,99.8,70.0,38.0,157,65.3,0.126749724638702
58,Pratapgarh,30.6,71.1,67.3,51.6,35.5,27.7,10.0,87.6,78.2,52.0,97.8,74.8,38.0,157,65.3,-0.256952374616999
59,Deoghar,30.7,54.1,58.3,70.9,39.7,45.0,28.8,88.9,75.7,37.2,99.7,65.6,27.0,36,69.1,-0.2569985730507773
60,Saran,30.7,55.6,56.4,67.2,41.7,36.9,17.7,73.0,62.6,41.6,90.8,50.7,25.0,23,69.1,-0.6137467406046067
61,Supaul,30.9,73.5,74.6,63.1,45.1,39.2,23.2,76.4,70.1,43.8,85.5,55.7,43.0,51,66.5,-0.1976243630520128
62,Panna,30.9,60.7,64.2,63.2,42.3,45.0,25.8,85.5,76.8,50.7,99.7,42.1,27.0,36,69.1,-0.331021327538745
63,Siang,31.1,56.0,55.4,23.4,21.3,8.8,12.1,77.5,60.3,91.2,96.3,85.3,21.0,17,70.43913043,-0.6937715229394157
64,Lepa Rada,31.173,59.263,58.814,37.837,30.133,17.574,13.772,85.547,65.239,84.586,97.085,69.825,21.0,17,70.43913043,-0.5603158522136986
65,Basti,31.5,83.8,81.6,41.1,35.9,39.2,24.2,86.0,84.6,64.2,100.0,63.2,38.0,157,65.3,0.0539163866936313
66,Hoshangabad,31.5,67.6,71.8,52.1,34.8,27.2,19.5,87.9,79.0,68.5,93.5,67.6,43.0,51,66.5,-0.2270384909233424
68,Kathua,31.6,81.2,77.1,71.8,21.8,25.9,22.5,100.0,100.0,75.4,96.1,87.7,19.02777778,21,74.0,0.0930683927198179
67,Nawada,31.6,74.1,80.5,73.7,49.4,37.3,18.2,87.5,79.0,47.9,99.3,62.1,27.0,36,69.1,-0.0639107907283944
69,Banka,31.7,72.3,74.7,60.4,46.7,45.8,26.9,95.0,90.2,38.2,96.3,55.7,27.0,36,69.1,-0.0954939645503221
70,Amethi,31.7,76.3,73.7,45.4,35.8,33.1,19.9,85.7,78.7,60.9,98.7,63.3,38.0,157,65.3,-0.1275164155016457
71,Upper Subansiri,32.1,56.7,56.7,39.2,36.8,19.2,12.2,84.3,74.4,80.9,94.7,62.3,21.0,17,70.43913043,-0.5596003907204227
72,Lower Siang,32.156,58.834,59.798,38.366,24.545,13.57,12.203,84.505,58.169,86.006,98.298,78.711,21.0,17,70.43913043,-0.60370987829634
73,Anjaw,32.3,55.8,57.3,42.2,23.6,16.0,14.3,97.6,97.6,86.8,86.6,66.4,21.0,17,70.43913043,-0.5768104798995776
74,Chatra,32.4,61.2,59.1,55.7,42.2,39.8,17.2,78.7,73.6,48.1,83.3,57.7,25.0,23,69.1,-0.4540249787714357
75,Cachar,32.7,57.3,61.4,57.6,28.7,38.2,30.7,76.9,74.4,57.6,43.8,77.2,36.0,25,66.9,-0.3422321486540645
76,Sambhal,32.9,67.5,67.5,57.3,51.6,29.8,14.1,91.3,84.7,72.8,100.0,51.3,38.0,157,65.3,-0.0423944085075839
77,Chandauli,32.9,65.2,63.5,52.4,39.5,29.9,17.4,82.7,72.6,66.7,97.5,70.6,38.0,157,65.3,-0.1264753073530245
79,Rewa,33.0,77.7,77.8,65.3,37.0,31.5,18.7,93.5,70.3,46.1,82.1,62.3,43.0,51,66.5,-0.2580568787873352
78,Lawngtlai,33.0,46.2,28.4,45.5,32.7,16.9,16.2,76.8,75.3,90.3,82.2,76.0,3.0,9,70.43913043,-0.7488912013666685
80,Moradabad,33.2,75.9,76.8,61.7,40.3,29.1,12.2,83.0,77.4,62.7,93.9,61.1,32.0,27,68.7,-0.2559215407588608
81,Bharatpur,33.2,76.1,74.7,43.4,34.7,27.0,19.1,89.1,84.5,79.0,99.8,66.7,38.0,157,65.3,-0.0387453883003226
